 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,81,268.281,19.768,0.971,1.058,0.945,0.926
2,72,477.888,31.868,0.965,1.083,0.924,0.889
3,87,336.961,75.552,1.000,1.081,0.925,0.930
4,55,351.939,80.924,0.673,2.630,0.380,0.840
5,82,50.574,115.269,0.546,3.362,0.297,0.800
6,88,375.347,122.709,0.754,2.244,0.446,0.876
7,119,419.857,123.330,0.570,3.693,0.271,0.856
8,105,320.519,129.131,0.524,3.788,0.264,0.755
9,84,136.057,153.908,0.992,1.115,0.897,0.918
10,58,194.781,162.641,0.760,2.149,0.465,0.899
11,192,185.882,180.637,0.365,2.324,0.430,0.603
12,121,57.833,190.903,0.449,4.629,0.216,0.718
13,66,229.663,201.206,0.972,1.034,0.967,0.892
14,72,205.223,210.249,0.980,1.345,0.744,0.935
15,103,210.747,225.255,0.478,4.270,0.234,0.798
16,78,63.021,227.987,0.969,1.051,0.951,0.918
17,104,85.672,232.254,0.440,3.913,0.256,0.689
18,102,352.605,250.927,0.661,2.734,0.366,0.861
19,131,302.697,350.446,0.492,4.046,0.247,0.764
20,49,281.262,347.430,0.943,1.497,0.668,0.907
21,54,321.599,366.251,0.863,2.032,0.492,0.871
22,186,301.207,368.544,0.530,2.912,0.343,0.764
23,58,13.864,391.557,0.905,1.393,0.718,0.913
24,85,306.893,393.964,0.983,1.025,0.976,0.939
25,90,142.623,398.815,0.817,1.981,0.505,0.914
26,140,267.376,402.672,0.382,5.258,0.190,0.662
27,150,185.713,414.188,0.338,6.773,0.148,0.719
28,88,91.569,418.042,0.968,1.098,0.911,0.926
29,116,480.315,429.272,0.477,4.760,0.210,0.771
30,81,472.547,440.044,0.991,1.364,0.733,0.915
31,53,159.302,440.312,0.916,1.342,0.745,0.914
32,79,464.248,450.938,0.540,3.443,0.290,0.756
33,82,160.994,457.479,0.708,2.649,0.378,0.943
34,79,140.684,455.593,0.828,1.962,0.510,0.888
35,66,30.126,464.678,0.607,2.660,0.376,0.898
36,70,120.311,462.935,0.797,1.590,0.629,0.892
37,95,26.458,495.699,0.800,1.956,0.511,0.905
38,42,128.670,496.433,0.888,1.513,0.661,0.857
39,93,214.514,501.111,0.605,3.425,0.292,0.809
