 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,69,282.087,20.071,0.976,1.188,0.842,0.914
2,66,199.630,68.624,1.000,1.031,0.969,0.923
3,52,364.308,71.355,1.000,1.308,0.765,0.929
4,81,193.220,90.530,0.956,1.136,0.880,0.900
5,66,43.480,113.395,0.988,1.031,0.969,0.923
6,121,263.087,116.336,0.977,1.119,0.894,0.927
7,78,414.915,121.550,1.000,1.103,0.907,0.951
8,91,321.236,129.932,0.632,3.090,0.324,0.805
9,92,296.852,129.863,0.964,1.168,0.856,0.911
10,98,392.095,132.128,0.993,1.258,0.795,0.933
11,86,348.223,135.832,0.980,1.116,0.896,0.925
12,84,91.405,152.251,0.992,1.101,0.908,0.913
13,83,136.663,154.612,0.980,1.179,0.848,0.912
14,96,197.200,165.367,0.785,1.957,0.511,0.914
15,70,213.461,164.487,1.000,1.032,0.969,0.946
16,87,111.507,172.974,0.957,1.126,0.888,0.921
17,77,149.725,174.063,0.993,1.018,0.983,0.911
18,109,268.485,175.471,0.907,1.456,0.687,0.905
19,77,301.120,186.257,0.993,1.062,0.941,0.911
20,99,143.584,196.530,0.898,1.458,0.686,0.925
21,61,228.975,200.968,0.968,1.063,0.941,0.931
22,69,204.333,210.562,0.961,1.212,0.825,0.885
23,94,210.233,225.846,0.525,3.940,0.254,0.817
24,93,155.294,252.033,0.988,1.108,0.902,0.944
25,77,337.212,287.038,0.993,1.064,0.940,0.922
26,89,36.068,311.417,0.979,1.293,0.774,0.932
27,75,364.136,312.483,0.983,1.086,0.921,0.932
28,70,11.431,378.403,1.000,1.084,0.922,0.946
29,80,143.053,394.792,0.994,1.086,0.921,0.920
30,64,337.704,399.217,0.998,1.087,0.920,0.921
31,116,480.332,429.755,0.530,4.114,0.243,0.838
32,72,118.158,448.739,0.980,1.092,0.916,0.929
33,87,465.976,452.223,0.702,2.481,0.403,0.861
34,69,141.256,453.302,0.976,1.243,0.805,0.902
