 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,76,481.554,8.937,0.980,1.035,0.966,0.905
2,80,422.840,32.074,0.994,1.042,0.959,0.930
3,53,364.937,72.384,0.916,1.319,0.758,0.876
4,70,287.348,112.556,0.991,1.109,0.901,0.909
5,64,43.497,113.749,0.998,1.028,0.973,0.908
6,82,414.442,121.890,0.968,1.268,0.789,0.911
7,83,321.058,129.726,0.570,3.400,0.294,0.769
8,81,166.640,135.803,0.923,1.043,0.959,0.895
9,76,330.365,140.416,0.980,1.191,0.839,0.910
10,81,136.296,154.465,0.942,1.164,0.859,0.880
11,93,197.485,165.847,0.760,1.957,0.511,0.877
12,64,206.864,187.708,0.998,1.036,0.966,0.914
13,90,308.744,198.435,0.976,1.029,0.972,0.905
14,63,228.654,201.359,0.943,1.037,0.964,0.900
15,121,267.696,204.871,0.977,1.102,0.907,0.924
16,69,203.888,210.859,1.000,1.157,0.864,0.914
17,72,140.371,213.449,0.980,1.064,0.940,0.923
18,85,115.833,222.680,0.983,1.033,0.968,0.944
19,91,209.593,226.034,0.513,4.007,0.250,0.816
20,113,244.976,229.690,0.875,1.712,0.584,0.915
21,96,159.002,230.699,0.929,1.557,0.642,0.914
22,83,112.778,255.271,1.000,1.069,0.935,0.938
23,80,295.770,273.027,1.000,1.045,0.957,0.930
24,94,158.545,326.586,1.000,1.048,0.954,0.926
25,75,10.916,378.758,0.967,1.072,0.933,0.909
26,77,349.543,381.396,0.942,1.130,0.885,0.885
27,95,31.067,383.094,0.963,1.255,0.797,0.918
28,79,142.715,395.006,1.000,1.052,0.951,0.924
29,82,341.756,402.042,1.000,1.005,0.995,0.943
30,112,185.908,413.951,0.643,2.666,0.375,0.812
31,116,479.879,429.879,0.530,4.017,0.249,0.811
32,72,117.586,450.227,0.980,1.120,0.893,0.923
33,84,465.540,452.373,0.699,2.460,0.407,0.836
34,70,140.909,453.596,0.991,1.158,0.864,0.909
35,64,310.811,498.353,0.998,1.087,0.920,0.921
