 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,76,114.121,18.446,0.996,1.110,0.901,0.938
2,79,339.952,19.769,1.000,1.035,0.966,0.924
3,99,123.376,40.465,1.000,1.074,0.931,0.943
4,58,364.760,70.972,0.905,1.385,0.722,0.879
5,88,271.842,76.186,0.954,1.100,0.909,0.912
6,67,456.761,86.468,0.948,1.028,0.972,0.899
7,71,46.818,116.289,1.000,1.139,0.878,0.916
8,95,352.591,121.074,1.000,1.119,0.893,0.945
9,85,410.211,121.054,0.935,1.023,0.978,0.909
10,99,321.463,130.209,0.605,3.388,0.295,0.811
11,84,286.303,138.127,0.992,1.061,0.943,0.913
12,83,485.970,142.782,0.959,1.023,0.978,0.927
13,88,136.223,154.528,0.954,1.149,0.870,0.898
14,84,197.939,164.796,0.824,1.877,0.533,0.913
15,59,205.232,178.138,0.936,1.476,0.677,0.944
16,79,27.657,182.200,1.000,1.014,0.987,0.924
17,94,359.617,189.879,0.966,1.093,0.915,0.940
18,64,229.315,200.972,0.958,1.080,0.926,0.914
19,72,204.360,210.587,1.000,1.242,0.805,0.906
20,99,210.087,225.875,0.514,3.969,0.252,0.828
21,75,26.918,235.904,1.000,1.104,0.906,0.909
22,84,172.073,240.913,1.000,1.048,0.954,0.933
23,96,314.310,292.340,1.000,1.093,0.915,0.928
24,77,350.116,304.983,0.993,1.122,0.891,0.911
25,126,298.480,317.180,0.728,2.174,0.460,0.878
26,128,326.524,317.899,1.000,1.098,0.911,0.941
27,86,146.018,346.828,0.960,1.047,0.955,0.940
28,74,195.990,358.272,0.954,1.057,0.946,0.892
29,77,10.928,378.120,0.993,1.071,0.934,0.911
30,89,148.528,379.133,1.000,1.200,0.833,0.932
31,82,284.973,384.809,0.983,1.012,0.988,0.932
32,78,142.811,395.190,0.969,1.136,0.880,0.912
33,139,266.700,405.766,0.542,3.344,0.299,0.741
34,128,185.324,412.095,0.432,3.819,0.262,0.681
35,94,21.250,415.445,0.985,1.133,0.883,0.922
36,119,480.239,429.598,0.516,3.988,0.251,0.815
37,69,116.365,449.781,0.993,1.045,0.957,0.945
38,91,465.835,451.869,0.685,2.658,0.376,0.867
39,95,157.957,453.779,0.996,1.059,0.944,0.927
40,71,139.562,453.679,1.000,1.169,0.855,0.922
