 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,90,274.264,28.241,0.990,1.103,0.906,0.928
2,55,365.376,71.447,0.967,1.308,0.764,0.940
3,69,464.076,79.495,0.976,1.130,0.885,0.914
4,99,341.859,84.071,0.971,1.197,0.835,0.930
5,81,271.803,86.858,1.000,1.036,0.966,0.926
6,86,471.034,109.091,1.000,1.024,0.977,0.945
7,69,45.577,113.558,0.976,1.027,0.974,0.914
8,85,410.469,121.162,0.968,1.100,0.909,0.919
9,104,321.496,130.414,0.577,3.380,0.296,0.791
10,94,360.495,153.043,0.999,1.121,0.892,0.940
11,87,136.161,154.543,0.977,1.095,0.913,0.902
12,96,196.934,165.224,0.785,2.027,0.493,0.923
13,81,30.630,168.304,0.956,1.097,0.912,0.895
14,67,207.660,180.401,1.000,1.035,0.966,0.931
15,77,15.618,194.974,0.993,1.020,0.980,0.911
16,86,167.280,200.745,0.980,1.116,0.896,0.925
17,66,229.274,201.227,1.000,1.078,0.928,0.936
18,71,204.203,210.889,0.951,1.232,0.812,0.893
19,103,209.909,226.029,0.534,3.796,0.263,0.848
20,77,337.758,261.669,0.993,1.081,0.925,0.911
21,102,305.878,277.293,0.955,1.101,0.908,0.911
22,125,290.205,298.805,0.789,1.914,0.522,0.899
23,130,321.469,297.931,0.990,1.110,0.901,0.942
24,94,147.352,333.465,0.985,1.022,0.979,0.917
25,74,182.824,334.638,1.000,1.095,0.913,0.937
26,92,144.185,356.005,1.000,1.085,0.922,0.948
27,133,249.775,366.202,0.606,2.994,0.334,0.811
28,85,285.492,366.016,0.968,1.069,0.935,0.919
29,76,10.717,378.444,0.959,1.075,0.931,0.933
30,83,142.972,395.034,0.995,1.109,0.902,0.938
31,95,10.286,407.618,1.000,1.029,0.972,0.931
32,126,186.616,411.795,0.491,3.624,0.276,0.735
33,102,157.042,413.546,0.987,1.080,0.926,0.919
34,82,325.252,419.070,1.000,1.045,0.957,0.932
35,124,480.378,429.857,0.542,3.948,0.253,0.827
36,78,118.308,450.820,0.984,1.120,0.893,0.945
37,94,465.845,451.986,0.687,2.647,0.378,0.866
38,69,141.090,453.872,0.993,1.268,0.788,0.945
39,80,432.301,461.746,0.959,1.071,0.934,0.920
40,47,419.829,474.220,0.517,3.609,0.277,0.740
