 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,89,232.420,10.277,0.979,1.084,0.923,0.922
2,67,446.398,44.634,1.000,1.047,0.955,0.931
3,91,291.317,54.960,0.967,1.108,0.902,0.933
4,79,224.807,57.094,0.982,1.071,0.933,0.913
5,54,365.600,71.476,0.993,1.304,0.767,0.939
6,80,425.958,83.238,1.000,1.035,0.966,0.930
7,65,43.328,113.328,1.000,1.059,0.944,0.929
8,83,410.599,120.787,0.946,1.079,0.927,0.907
9,100,320.942,129.781,0.595,3.299,0.303,0.806
10,78,20.118,138.211,1.000,1.051,0.951,0.918
11,90,351.124,138.224,0.976,1.118,0.894,0.909
12,82,135.919,154.023,1.000,1.137,0.879,0.943
13,94,197.121,165.046,0.746,2.112,0.473,0.904
14,71,211.541,169.257,1.000,1.108,0.903,0.928
15,73,14.020,171.388,0.956,1.084,0.922,0.918
16,84,164.392,181.831,0.957,1.104,0.906,0.913
17,64,228.795,200.568,0.981,1.053,0.950,0.889
18,67,203.869,210.195,1.000,1.245,0.803,0.937
19,93,209.746,225.328,0.519,3.797,0.263,0.819
20,78,301.381,240.056,1.000,1.076,0.930,0.918
21,95,298.583,265.350,0.963,1.040,0.961,0.922
22,115,245.793,277.722,0.774,2.055,0.487,0.895
23,120,278.651,283.897,1.000,1.038,0.963,0.945
24,87,122.510,290.010,0.991,1.087,0.920,0.930
25,74,153.976,291.946,0.991,1.077,0.928,0.902
26,86,122.010,324.168,0.980,1.042,0.960,0.915
27,114,207.207,325.864,0.719,2.461,0.406,0.884
28,81,277.035,346.293,1.000,1.060,0.944,0.926
29,75,10.520,378.059,0.967,1.009,0.991,0.898
30,99,153.035,379.290,0.958,1.148,0.871,0.908
31,81,142.399,394.243,0.956,1.180,0.848,0.900
32,122,185.741,413.088,0.595,3.118,0.321,0.805
33,77,330.201,409.490,1.000,1.089,0.918,0.945
34,57,377.405,413.515,0.943,1.244,0.804,0.905
35,118,479.728,429.130,0.528,4.071,0.246,0.822
36,79,394.104,431.865,0.982,1.071,0.933,0.913
37,76,117.830,449.842,0.980,1.076,0.929,0.916
38,88,465.339,451.662,0.719,2.518,0.397,0.889
39,69,140.755,453.748,0.939,1.323,0.756,0.914
