 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,92,341.224,40.120,1.000,1.109,0.901,0.939
2,79,394.904,46.180,0.982,1.083,0.923,0.913
3,53,360.938,69.279,0.957,1.382,0.723,0.898
4,77,49.135,115.311,0.745,2.435,0.411,0.885
5,101,320.517,128.964,0.539,3.710,0.270,0.757
6,86,419.986,125.512,0.980,1.411,0.709,0.925
7,83,135.821,154.003,0.995,1.070,0.935,0.938
8,54,196.100,163.342,0.857,1.862,0.537,0.915
9,146,183.075,171.992,0.456,3.981,0.251,0.796
10,79,475.852,166.769,1.000,1.063,0.940,0.924
11,53,6.162,177.984,0.705,2.487,0.402,0.862
12,106,58.450,190.699,0.444,4.172,0.240,0.665
13,74,36.937,190.562,1.000,1.080,0.926,0.925
14,60,204.026,194.699,0.952,1.287,0.777,0.923
15,68,228.252,200.672,1.000,1.013,0.987,0.944
16,65,204.711,210.572,0.920,1.507,0.663,0.909
17,100,210.342,225.476,0.497,4.049,0.247,0.794
18,95,83.212,232.167,0.543,3.100,0.323,0.788
19,121,302.050,284.893,0.977,1.091,0.917,0.927
20,97,26.925,288.638,0.938,1.085,0.922,0.898
21,40,286.882,339.016,0.973,1.483,0.674,0.930
22,126,308.872,347.729,0.635,3.036,0.329,0.887
23,129,299.600,363.451,0.716,2.657,0.376,0.866
24,62,321.147,363.646,0.967,1.324,0.755,0.919
25,90,152.619,372.259,1.000,1.102,0.907,0.938
26,78,13.068,374.680,0.935,1.445,0.692,0.929
27,63,297.324,378.514,0.983,1.116,0.896,0.913
28,82,142.333,396.650,0.968,1.101,0.908,0.901
29,66,274.669,398.429,0.851,1.531,0.653,0.868
30,65,260.321,406.864,0.852,1.633,0.613,0.903
31,148,185.800,414.192,0.344,6.477,0.154,0.701
32,121,479.940,429.173,0.525,4.233,0.236,0.823
33,106,157.075,449.583,0.655,2.040,0.490,0.815
34,90,465.684,452.145,0.640,2.839,0.352,0.845
35,71,138.950,456.139,0.966,1.341,0.745,0.928
36,59,31.233,465.384,0.718,2.133,0.469,0.901
37,72,117.850,462.900,0.965,1.128,0.887,0.889
38,84,23.863,495.418,0.992,1.084,0.922,0.913
