 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,106,440.154,12.356,0.962,1.063,0.940,0.922
2,78,308.884,32.760,1.000,1.062,0.942,0.918
3,88,224.429,39.679,0.935,1.309,0.764,0.926
4,61,363.804,70.985,0.951,1.276,0.784,0.904
5,84,271.245,99.051,0.992,1.074,0.931,0.913
6,94,350.156,110.474,0.985,1.132,0.884,0.922
7,79,48.792,115.477,0.775,2.165,0.462,0.903
8,85,414.017,124.234,1.000,1.044,0.958,0.939
9,98,320.425,129.304,0.518,3.815,0.262,0.757
10,88,136.063,154.487,0.954,1.096,0.912,0.898
11,106,197.348,166.645,0.613,2.852,0.351,0.869
12,82,379.959,164.455,0.968,1.024,0.977,0.901
13,93,180.885,170.736,0.871,1.750,0.572,0.912
14,110,57.532,190.570,0.536,3.540,0.282,0.772
15,66,201.994,194.909,0.972,1.100,0.909,0.892
16,66,228.258,200.768,0.988,1.035,0.967,0.930
17,92,177.627,206.602,0.932,1.542,0.648,0.925
18,73,204.844,210.913,0.942,1.484,0.674,0.907
19,80,169.772,221.866,0.994,1.028,0.973,0.930
20,86,486.712,223.982,0.980,1.056,0.947,0.925
21,101,210.382,225.714,0.519,3.905,0.256,0.824
22,95,82.389,232.593,0.639,2.620,0.382,0.837
23,75,34.188,277.514,0.983,1.086,0.921,0.932
24,47,376.850,332.743,0.746,2.404,0.416,0.913
25,104,310.164,348.468,0.850,1.814,0.551,0.924
26,69,321.513,364.089,0.976,1.294,0.773,0.914
27,126,302.982,367.190,0.852,1.870,0.535,0.916
28,127,344.142,368.370,0.955,1.048,0.954,0.917
29,100,43.986,395.302,1.000,1.189,0.841,0.943
30,82,142.566,396.218,0.968,1.092,0.916,0.901
31,82,315.861,399.327,1.000,1.080,0.926,0.932
32,65,274.857,399.237,0.885,1.603,0.624,0.909
33,72,261.137,407.187,0.895,1.579,0.633,0.917
34,153,185.727,414.256,0.376,5.912,0.169,0.720
35,122,480.169,429.867,0.529,4.165,0.240,0.824
36,76,19.569,431.530,0.944,1.158,0.864,0.910
37,97,149.642,434.642,1.000,1.057,0.946,0.933
38,92,465.896,451.824,0.673,2.823,0.354,0.860
39,78,117.959,455.132,0.969,1.045,0.957,0.907
40,75,140.406,455.064,0.932,1.332,0.751,0.920
41,102,159.328,455.647,0.955,1.310,0.763,0.927
42,63,31.293,464.687,0.606,2.650,0.377,0.869
43,88,24.299,495.883,1.000,1.103,0.907,0.936
