 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,167,412.045,18.708,0.519,3.850,0.260,0.831
2,129,387.285,13.067,0.647,2.458,0.407,0.811
3,227,371.755,34.353,0.427,5.349,0.187,0.815
4,171,449.679,39.434,0.447,4.085,0.245,0.740
5,146,217.714,45.594,0.586,3.357,0.298,0.839
6,148,18.612,47.170,0.530,3.599,0.278,0.769
7,161,245.681,54.288,0.552,3.401,0.294,0.821
8,229,170.697,83.159,0.431,4.903,0.204,0.816
9,194,152.232,88.895,0.469,4.323,0.231,0.787
10,151,396.548,109.538,0.587,3.117,0.321,0.807
11,145,51.418,116.538,0.511,3.682,0.272,0.788
12,151,150.028,136.469,0.587,3.443,0.290,0.868
13,196,223.936,157.608,0.437,4.958,0.202,0.803
14,169,237.837,161.655,0.463,4.531,0.221,0.812
15,261,195.545,177.619,0.321,2.270,0.441,0.552
16,188,211.696,186.729,0.613,3.221,0.310,0.834
17,158,56.456,194.072,0.489,3.874,0.258,0.756
18,172,244.791,203.645,0.472,3.972,0.252,0.753
19,183,216.761,203.824,0.529,3.334,0.300,0.815
20,124,118.937,210.509,0.709,2.486,0.402,0.849
21,170,266.058,213.588,0.496,3.764,0.266,0.738
22,260,225.402,228.220,0.391,5.521,0.181,0.745
23,160,86.950,232.401,0.543,3.576,0.280,0.823
24,214,305.157,259.606,0.460,4.870,0.205,0.790
25,226,112.238,345.001,0.438,4.538,0.220,0.803
26,114,282.735,350.025,0.669,2.360,0.424,0.806
27,191,72.603,378.901,0.456,4.716,0.212,0.825
28,202,465.974,388.663,0.451,4.616,0.217,0.780
29,147,179.227,403.271,0.673,2.966,0.337,0.927
30,181,399.362,404.627,0.470,3.968,0.252,0.737
31,166,304.165,419.367,0.552,3.712,0.269,0.802
32,221,211.698,435.565,0.431,5.276,0.190,0.775
33,174,478.126,431.352,0.535,3.693,0.271,0.833
34,233,136.504,442.533,0.424,5.383,0.186,0.770
35,126,85.603,438.556,0.451,4.576,0.219,0.750
36,206,162.391,461.667,0.414,4.967,0.201,0.811
37,81,68.923,452.724,0.923,1.118,0.895,0.900
38,235,194.060,457.649,0.368,5.550,0.180,0.741
39,213,134.599,469.921,0.397,5.387,0.186,0.753
40,221,41.440,466.801,0.393,5.136,0.195,0.752
41,99,266.586,476.869,0.871,1.665,0.601,0.917
42,46,252.105,482.294,0.513,3.628,0.276,0.767
