 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,76,252.978,24.506,0.996,1.123,0.890,0.933
2,69,458.435,27.458,1.000,1.000,1.000,0.945
3,48,354.093,84.241,0.606,2.719,0.368,0.850
4,85,307.848,97.281,1.000,1.104,0.906,0.919
5,79,50.878,115.375,0.540,3.759,0.266,0.786
6,113,419.935,123.216,0.508,3.826,0.261,0.819
7,99,320.962,129.212,0.511,3.901,0.256,0.742
8,102,396.249,126.989,0.558,3.399,0.294,0.782
9,84,136.241,153.715,0.957,1.220,0.820,0.903
10,58,195.121,162.947,0.802,2.113,0.473,0.913
11,181,186.121,180.723,0.367,2.418,0.414,0.599
12,108,58.077,190.559,0.421,4.931,0.203,0.706
13,63,229.851,201.463,0.983,1.056,0.947,0.913
14,69,205.211,210.293,0.976,1.312,0.762,0.914
15,80,79.078,216.554,0.994,1.194,0.838,0.925
16,96,210.625,225.156,0.482,4.347,0.230,0.810
17,89,340.613,230.573,0.599,3.117,0.321,0.820
18,104,85.957,232.464,0.447,4.143,0.241,0.748
19,114,296.297,352.103,0.514,3.750,0.267,0.728
20,91,283.989,369.986,0.852,1.835,0.545,0.915
21,120,301.348,370.852,0.599,3.374,0.296,0.845
22,55,14.174,391.621,0.993,1.444,0.693,0.909
23,84,298.073,396.664,1.000,1.043,0.959,0.923
24,89,142.586,398.887,0.681,2.468,0.405,0.856
25,71,275.172,398.369,0.809,1.826,0.548,0.910
26,66,260.167,407.151,0.779,2.062,0.485,0.898
27,139,185.536,413.715,0.321,7.182,0.139,0.681
28,87,74.408,420.924,0.991,1.079,0.927,0.930
29,89,458.016,425.539,1.000,1.114,0.898,0.932
30,122,480.310,429.475,0.546,4.003,0.250,0.830
31,52,159.427,440.265,0.898,1.373,0.728,0.904
32,97,470.781,445.393,0.622,2.968,0.337,0.840
33,76,161.427,457.689,0.603,2.994,0.334,0.835
34,73,141.510,455.511,0.844,2.018,0.496,0.924
35,55,30.076,464.630,0.565,2.663,0.376,0.859
36,66,119.536,460.377,0.884,1.348,0.742,0.880
37,95,25.290,494.359,0.745,2.213,0.452,0.880
38,92,214.724,500.896,0.599,3.449,0.290,0.807
