 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,66,467.710,20.143,0.956,1.088,0.919,0.874
2,99,423.950,45.560,0.958,1.061,0.942,0.904
3,86,209.149,71.710,0.980,1.197,0.835,0.915
4,75,304.300,73.349,1.000,1.068,0.937,0.909
5,54,365.476,72.190,0.993,1.274,0.785,0.939
6,74,48.318,115.876,0.814,2.026,0.494,0.914
7,88,347.469,120.246,1.000,1.151,0.869,0.926
8,75,250.381,122.312,0.953,1.073,0.932,0.882
9,84,413.531,123.963,0.992,1.044,0.958,0.923
10,97,320.575,129.112,0.544,3.807,0.263,0.764
11,89,136.198,154.471,0.965,1.109,0.902,0.904
12,91,197.534,165.810,0.722,2.455,0.407,0.910
13,82,149.780,168.059,0.859,1.706,0.586,0.901
14,98,56.901,190.174,0.523,3.457,0.289,0.745
15,61,203.345,194.235,1.000,1.263,0.792,0.946
16,63,228.266,201.171,0.983,1.057,0.946,0.913
17,69,204.864,210.798,0.939,1.354,0.739,0.908
18,77,359.157,220.057,0.993,1.073,0.932,0.922
19,96,210.390,225.805,0.493,4.216,0.237,0.807
20,79,487.918,229.908,0.982,1.071,0.933,0.913
21,89,82.103,232.530,0.658,2.443,0.409,0.848
22,75,169.510,240.900,1.000,1.057,0.947,0.932
23,83,154.451,259.494,0.980,1.207,0.829,0.912
24,67,20.598,311.352,0.948,1.059,0.944,0.899
25,95,309.935,348.608,0.862,1.730,0.578,0.922
26,65,321.377,364.231,0.973,1.308,0.764,0.935
27,119,303.018,367.784,0.895,1.621,0.617,0.919
28,125,344.403,369.362,0.968,1.110,0.901,0.916
29,80,142.681,396.117,1.000,1.032,0.969,0.930
30,84,306.388,395.870,0.957,1.053,0.950,0.913
31,63,274.960,399.176,0.892,1.513,0.661,0.900
32,67,261.189,407.189,0.864,1.593,0.628,0.882
33,139,185.884,414.546,0.344,6.135,0.163,0.668
34,115,480.170,429.398,0.526,4.155,0.241,0.816
35,96,42.749,429.412,0.929,1.057,0.946,0.893
36,91,147.119,439.485,0.940,1.175,0.851,0.888
37,77,11.047,447.306,0.993,1.037,0.964,0.911
38,88,465.989,451.829,0.643,2.910,0.344,0.842
39,74,118.049,454.577,1.000,1.080,0.926,0.925
40,70,140.141,454.896,0.917,1.327,0.754,0.915
41,97,159.301,455.715,0.938,1.275,0.784,0.919
42,50,31.296,465.330,0.655,2.284,0.438,0.847
43,83,24.075,495.702,0.995,1.069,0.935,0.938
