 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,87,198.818,46.216,0.991,1.080,0.926,0.930
2,70,116.509,57.849,0.991,1.057,0.946,0.909
3,75,335.208,67.570,1.000,1.086,0.921,0.932
4,92,145.984,70.837,0.964,1.079,0.927,0.911
5,55,366.078,72.856,0.933,1.241,0.806,0.880
6,68,46.313,114.877,0.962,1.413,0.708,0.913
7,84,264.295,117.914,0.957,1.061,0.943,0.913
8,77,413.069,122.481,1.000,1.089,0.918,0.945
9,94,320.918,129.672,0.546,3.706,0.270,0.764
10,80,136.082,154.713,0.944,1.095,0.913,0.894
11,87,197.302,165.634,0.690,2.401,0.416,0.906
12,94,382.850,171.931,0.953,1.099,0.910,0.922
13,66,467.553,174.325,0.988,1.031,0.969,0.923
14,81,50.554,187.423,0.891,1.656,0.604,0.905
15,57,203.664,195.282,1.000,1.134,0.882,0.912
16,59,228.897,201.296,1.000,1.090,0.917,0.929
17,67,204.494,210.971,0.948,1.372,0.729,0.905
18,77,290.074,213.956,0.957,1.111,0.900,0.911
19,82,483.333,223.730,0.934,1.101,0.908,0.901
20,92,210.334,225.956,0.501,4.160,0.240,0.786
21,75,318.397,227.121,0.967,1.111,0.900,0.909
22,76,78.259,232.300,0.930,1.348,0.742,0.894
23,85,377.078,256.541,0.954,1.066,0.938,0.895
24,80,161.948,276.935,0.994,1.094,0.914,0.930
25,74,360.854,338.240,0.991,1.051,0.952,0.902
26,58,12.635,341.354,0.772,2.438,0.410,0.951
27,91,332.379,346.363,0.987,1.100,0.909,0.915
28,95,310.744,347.717,0.963,1.253,0.798,0.927
29,114,345.719,359.685,0.990,1.155,0.866,0.942
30,65,8.699,378.447,1.000,1.059,0.944,0.929
31,81,312.411,392.013,0.991,1.058,0.945,0.905
32,78,142.566,395.521,0.969,1.178,0.849,0.923
33,86,164.205,396.033,0.980,1.101,0.908,0.915
34,59,275.768,406.531,0.920,1.422,0.703,0.908
35,63,199.348,408.356,0.983,1.241,0.806,0.920
36,65,261.067,408.168,0.957,1.375,0.727,0.897
37,124,183.567,415.130,0.375,5.337,0.187,0.672
38,109,480.203,429.617,0.526,4.270,0.234,0.829
39,86,156.234,437.202,0.980,1.119,0.894,0.915
40,89,465.762,452.323,0.670,2.737,0.365,0.840
41,72,118.444,453.997,0.980,1.129,0.886,0.923
42,72,140.557,454.473,0.965,1.168,0.856,0.894
43,87,159.532,455.476,0.957,1.192,0.839,0.926
44,45,30.739,465.135,0.622,2.550,0.392,0.849
45,90,9.954,468.489,0.976,1.134,0.882,0.909
46,83,23.580,496.093,0.980,1.070,0.934,0.907
