 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,225,361.889,18.755,0.408,5.235,0.191,0.776
2,137,380.320,16.000,0.567,3.100,0.323,0.804
3,139,410.920,19.629,0.477,4.258,0.235,0.818
4,91,33.774,23.641,0.369,4.998,0.200,0.659
5,157,242.504,38.208,0.537,3.629,0.276,0.805
6,143,216.529,47.366,0.592,3.201,0.312,0.815
7,54,416.000,64.096,0.894,1.459,0.685,0.915
8,191,166.525,85.195,0.448,5.068,0.197,0.834
9,70,405.479,75.729,0.759,2.229,0.449,0.875
10,184,153.420,89.844,0.437,4.453,0.225,0.746
11,150,373.308,109.261,0.561,3.365,0.297,0.794
12,135,51.936,115.220,0.526,3.693,0.271,0.785
13,191,217.833,139.318,0.411,4.941,0.202,0.735
14,148,139.245,144.435,0.582,3.289,0.304,0.881
15,96,230.289,147.345,0.397,3.306,0.302,0.658
16,196,191.726,174.973,0.414,4.754,0.210,0.786
17,183,206.049,173.817,0.561,3.582,0.279,0.895
18,159,221.516,183.017,0.533,3.662,0.273,0.791
19,46,96.811,185.489,0.909,1.423,0.703,0.852
20,49,180.080,186.534,0.925,1.202,0.832,0.852
21,158,57.008,193.112,0.489,3.966,0.252,0.778
22,141,246.916,202.915,0.437,4.330,0.231,0.752
23,40,92.978,197.518,0.953,1.462,0.684,0.889
24,156,268.971,211.755,0.426,4.016,0.249,0.649
25,228,212.597,222.155,0.321,5.958,0.168,0.633
26,162,87.571,232.453,0.502,3.978,0.251,0.781
27,204,279.634,263.974,0.401,5.408,0.185,0.798
28,207,113.566,351.284,0.440,4.668,0.214,0.754
29,167,459.992,355.235,0.515,3.998,0.250,0.807
30,85,281.903,351.014,0.553,2.320,0.431,0.705
31,172,378.497,372.762,0.460,4.281,0.234,0.754
32,154,68.410,373.975,0.444,5.098,0.196,0.772
33,138,172.029,388.389,0.620,3.157,0.317,0.857
34,196,265.382,397.604,0.443,4.603,0.217,0.790
35,205,200.807,414.038,0.406,5.235,0.191,0.793
36,173,307.765,419.573,0.535,4.104,0.244,0.818
37,227,180.508,432.487,0.400,5.411,0.185,0.736
38,225,139.419,441.940,0.389,5.638,0.177,0.785
39,78,64.964,435.022,0.410,4.854,0.206,0.690
40,166,478.131,432.634,0.548,3.671,0.272,0.849
41,204,158.785,448.387,0.411,5.142,0.194,0.802
42,68,68.926,455.459,0.926,1.121,0.892,0.907
43,209,35.399,467.508,0.411,5.401,0.185,0.753
44,157,128.469,468.550,0.296,7.218,0.139,0.617
45,78,128.761,496.825,0.902,1.610,0.621,0.940
46,113,235.409,495.635,0.684,2.735,0.366,0.926
