 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,103,418.251,21.287,0.493,3.875,0.258,0.786
2,122,245.213,38.006,0.464,4.254,0.235,0.737
3,73,363.786,45.289,0.978,1.041,0.961,0.896
4,95,160.056,86.965,0.367,5.880,0.170,0.734
5,89,146.207,92.392,0.681,2.758,0.363,0.877
6,52,159.234,104.513,0.956,1.163,0.860,0.929
7,87,52.422,116.990,0.503,4.358,0.229,0.787
8,113,323.150,130.327,0.519,3.637,0.275,0.758
9,93,208.282,131.414,0.708,1.427,0.701,0.827
10,99,432.801,135.074,0.437,5.123,0.195,0.733
11,98,422.874,141.903,0.347,5.544,0.180,0.622
12,107,136.529,155.925,0.686,2.644,0.378,0.877
13,92,419.341,157.906,0.619,2.882,0.347,0.860
14,83,194.890,166.416,0.667,2.803,0.357,0.927
15,194,183.706,181.904,0.320,2.158,0.463,0.570
16,116,57.127,193.984,0.409,4.995,0.200,0.748
17,83,203.892,213.226,0.882,1.748,0.572,0.927
18,64,229.537,219.338,0.958,1.028,0.973,0.908
19,94,262.630,227.815,0.436,4.364,0.229,0.715
20,116,86.984,232.641,0.424,4.642,0.215,0.734
21,134,292.706,353.293,0.421,4.235,0.236,0.700
22,131,302.022,372.300,0.426,4.260,0.235,0.712
23,117,284.439,375.702,0.676,2.736,0.365,0.897
24,126,330.832,386.938,0.413,4.886,0.205,0.724
25,153,266.795,401.978,0.382,5.220,0.192,0.682
26,110,142.223,400.703,0.567,3.496,0.286,0.815
27,160,185.867,414.712,0.343,6.642,0.151,0.700
28,117,310.856,413.507,0.516,3.439,0.291,0.741
29,108,392.059,423.072,0.703,2.668,0.375,0.882
30,130,477.567,434.754,0.495,4.319,0.232,0.825
31,54,152.539,442.562,0.894,1.688,0.593,0.923
32,89,159.879,458.233,0.556,3.508,0.285,0.852
33,170,131.392,460.697,0.324,6.272,0.159,0.663
34,48,129.085,495.830,0.924,1.716,0.583,0.923
35,97,215.353,500.352,0.608,3.272,0.306,0.822
36,80,112.166,498.276,0.944,1.091,0.916,0.894
