 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,93,176.414,49.146,1.000,1.136,0.880,0.944
2,73,106.185,51.516,1.000,1.122,0.891,0.930
3,93,141.243,63.258,0.975,1.091,0.917,0.912
4,81,309.233,65.862,1.000,1.063,0.941,0.926
5,56,365.324,72.129,0.967,1.376,0.727,0.926
6,85,242.718,111.608,0.922,1.044,0.958,0.876
7,72,46.859,116.009,0.929,1.555,0.643,0.906
8,82,413.872,122.260,1.000,1.045,0.957,0.932
9,95,320.746,129.373,0.519,3.836,0.261,0.736
10,97,378.682,147.723,0.970,1.111,0.900,0.907
11,85,136.432,154.030,0.968,1.110,0.901,0.909
12,94,197.408,165.965,0.676,2.572,0.389,0.904
13,68,471.109,172.278,0.962,1.019,0.981,0.907
14,90,54.143,188.834,0.758,2.027,0.493,0.896
15,79,258.016,189.261,1.000,1.062,0.942,0.924
16,67,204.113,193.579,0.987,1.270,0.787,0.899
17,63,228.236,201.655,1.000,1.057,0.946,0.913
18,79,303.637,204.072,1.000,1.035,0.966,0.924
19,70,204.357,210.565,0.938,1.333,0.750,0.881
20,85,485.409,222.688,0.954,1.094,0.914,0.890
21,95,210.158,225.662,0.517,3.933,0.254,0.819
22,76,79.293,232.108,0.866,1.565,0.639,0.910
23,93,360.556,237.446,1.000,1.043,0.959,0.921
24,77,146.108,276.516,1.000,1.089,0.918,0.945
25,94,308.719,349.303,0.940,1.337,0.748,0.904
26,80,345.487,352.705,0.959,1.206,0.829,0.925
27,63,14.563,355.967,0.755,2.465,0.406,0.881
28,54,319.052,364.038,1.000,1.211,0.826,0.931
29,113,302.023,369.469,0.912,1.456,0.687,0.915
30,123,343.256,371.911,0.964,1.087,0.920,0.928
31,72,9.377,378.910,1.000,1.080,0.926,0.923
32,73,182.032,380.343,0.956,1.084,0.922,0.918
33,83,153.198,383.165,0.946,1.154,0.867,0.912
34,75,142.170,395.536,0.983,1.267,0.789,0.943
35,81,299.846,397.874,1.000,1.036,0.966,0.926
36,65,276.277,405.567,0.885,1.580,0.633,0.909
37,67,261.222,407.719,0.948,1.407,0.711,0.905
38,136,185.111,414.866,0.381,5.438,0.184,0.672
39,115,480.033,429.379,0.521,4.196,0.238,0.827
40,90,149.016,439.129,0.976,1.086,0.921,0.909
41,88,465.818,451.542,0.643,2.815,0.355,0.863
42,71,118.400,454.417,1.000,1.059,0.944,0.953
43,76,140.403,454.570,0.944,1.280,0.781,0.899
44,94,159.437,454.813,0.999,1.133,0.883,0.949
45,53,31.000,465.277,0.591,2.466,0.405,0.841
46,104,12.849,481.147,0.944,1.212,0.825,0.920
47,83,24.078,495.769,0.959,1.020,0.980,0.927
