 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,78,261.957,23.131,0.969,1.045,0.957,0.907
2,66,466.316,30.661,1.000,1.078,0.928,0.936
3,45,354.583,80.871,0.732,2.201,0.454,0.841
4,89,324.572,89.508,0.965,1.000,1.000,0.899
5,72,50.689,115.355,0.564,3.546,0.282,0.766
6,108,419.803,123.272,0.513,4.059,0.246,0.812
7,99,320.345,129.170,0.511,4.008,0.250,0.736
8,94,388.709,130.020,0.507,3.952,0.253,0.783
9,84,135.987,153.817,0.992,1.213,0.824,0.918
10,57,195.025,163.099,0.719,2.226,0.449,0.884
11,183,185.939,180.634,0.360,2.435,0.411,0.609
12,105,57.681,190.649,0.409,4.984,0.201,0.671
13,62,230.003,201.809,1.000,1.064,0.940,0.939
14,68,205.344,210.343,0.962,1.337,0.748,0.907
15,75,77.341,217.275,0.967,1.212,0.825,0.915
16,94,210.614,225.299,0.472,4.510,0.222,0.797
17,99,85.706,232.493,0.435,4.120,0.243,0.736
18,86,347.100,240.759,0.629,2.892,0.346,0.827
19,118,299.131,351.420,0.494,3.938,0.254,0.744
20,89,287.728,369.322,0.797,1.445,0.692,0.868
21,109,304.099,370.393,0.626,3.008,0.332,0.842
22,55,13.991,391.719,0.993,1.384,0.723,0.909
23,78,291.469,398.216,1.000,1.118,0.894,0.923
24,85,142.656,398.934,0.761,2.191,0.456,0.890
25,62,274.599,398.418,0.844,1.633,0.612,0.925
26,62,259.989,407.034,0.771,1.952,0.512,0.879
27,138,185.728,414.050,0.316,7.096,0.141,0.663
28,83,79.707,418.888,0.946,1.064,0.940,0.907
29,120,479.769,429.218,0.532,4.233,0.236,0.839
30,90,460.408,435.627,0.976,1.088,0.919,0.918
31,51,159.476,440.338,0.881,1.382,0.724,0.895
32,92,465.151,452.291,0.662,2.950,0.339,0.856
33,78,161.153,457.423,0.674,2.788,0.359,0.918
34,71,141.136,455.769,0.838,1.962,0.510,0.882
35,51,30.163,465.721,0.694,2.202,0.454,0.857
36,69,120.617,464.141,0.890,1.405,0.712,0.885
37,91,25.046,494.537,0.766,2.242,0.446,0.897
38,92,214.650,500.900,0.599,3.466,0.289,0.807
