 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,78,265.059,21.096,1.000,1.097,0.912,0.918
2,87,345.322,54.811,0.991,1.131,0.884,0.930
3,49,352.699,70.642,0.988,1.287,0.777,0.899
4,92,379.350,101.127,0.622,3.054,0.327,0.825
5,80,50.301,115.534,0.602,3.166,0.316,0.812
6,100,320.191,129.089,0.528,3.976,0.251,0.758
7,106,419.850,123.835,0.555,3.796,0.263,0.831
8,84,135.795,154.288,0.992,1.105,0.905,0.913
9,57,195.603,163.248,0.747,2.261,0.442,0.884
10,187,185.752,180.690,0.362,2.496,0.401,0.611
11,113,58.162,190.923,0.408,5.018,0.199,0.689
12,62,229.782,202.157,0.967,1.070,0.934,0.905
13,71,205.105,210.803,0.951,1.223,0.817,0.893
14,69,60.212,214.532,1.000,1.109,0.902,0.939
15,101,210.711,225.787,0.479,4.268,0.234,0.828
16,99,85.361,232.489,0.455,3.836,0.261,0.715
17,85,369.502,257.513,0.822,1.941,0.515,0.890
18,139,315.994,325.339,0.637,3.042,0.329,0.903
19,51,284.361,342.337,0.938,1.446,0.692,0.911
20,145,305.843,348.418,0.499,4.068,0.246,0.788
21,150,298.714,366.718,0.644,3.207,0.312,0.852
22,64,320.790,365.022,0.906,1.751,0.571,0.908
23,88,104.606,388.961,0.968,1.101,0.908,0.926
24,80,310.095,389.287,1.000,1.035,0.966,0.930
25,55,13.664,391.835,0.894,1.248,0.801,0.887
26,85,142.686,399.136,0.850,1.895,0.528,0.904
27,67,274.880,398.606,0.864,1.672,0.598,0.887
28,65,260.069,407.239,0.838,1.991,0.502,0.909
29,144,185.380,414.418,0.335,6.735,0.148,0.709
30,91,458.222,416.581,0.954,1.105,0.905,0.915
31,118,479.871,429.763,0.507,4.299,0.233,0.792
32,52,159.296,440.391,0.898,1.383,0.723,0.904
33,94,465.024,452.005,0.626,3.127,0.320,0.821
34,79,160.109,457.590,0.704,2.529,0.395,0.929
35,76,140.728,455.880,0.866,1.772,0.564,0.910
36,59,30.354,465.551,0.682,2.194,0.456,0.881
37,69,120.425,462.513,0.890,1.377,0.726,0.890
38,90,26.486,494.597,0.900,1.675,0.597,0.905
39,91,214.511,501.476,0.592,3.347,0.299,0.839
