 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,72,121.357,37.622,0.980,1.064,0.940,0.923
2,88,259.159,40.926,0.968,1.073,0.932,0.926
3,79,369.695,47.994,1.000,1.052,0.951,0.924
4,92,137.270,56.051,1.000,1.085,0.922,0.948
5,56,366.395,72.115,1.000,1.364,0.733,0.918
6,86,286.259,111.150,0.980,1.049,0.954,0.915
7,67,46.734,115.999,1.000,1.276,0.784,0.931
8,77,411.928,121.500,1.000,1.089,0.918,0.945
9,96,320.936,129.803,0.538,3.702,0.270,0.756
10,80,136.030,154.628,0.944,1.113,0.898,0.894
11,95,387.436,155.572,0.996,1.058,0.945,0.922
12,90,197.030,165.208,0.736,2.148,0.465,0.891
13,77,299.078,172.588,1.000,1.089,0.918,0.945
14,62,201.857,195.571,0.913,1.410,0.709,0.892
15,76,41.187,198.757,0.980,1.228,0.814,0.921
16,62,229.288,201.220,1.000,1.049,0.953,0.905
17,86,481.630,207.855,0.980,1.107,0.904,0.925
18,66,204.437,210.945,0.972,1.348,0.742,0.904
19,94,210.199,225.898,0.525,3.976,0.251,0.803
20,76,77.434,231.956,0.980,1.034,0.967,0.905
21,85,388.954,243.960,0.983,1.025,0.976,0.939
22,81,192.550,267.821,0.923,1.058,0.945,0.895
23,77,368.069,330.968,0.957,1.111,0.900,0.911
24,85,326.194,333.903,0.954,1.106,0.904,0.895
25,124,344.168,339.385,0.972,1.074,0.931,0.932
26,101,311.942,345.192,0.877,1.388,0.721,0.906
27,85,173.735,368.157,1.000,1.098,0.911,0.919
28,70,10.723,378.254,0.953,1.084,0.923,0.903
29,74,142.899,395.493,1.000,1.095,0.913,0.937
30,75,225.905,398.096,1.000,1.059,0.944,0.909
31,77,306.672,401.542,0.957,1.153,0.868,0.917
32,86,156.965,404.963,0.994,1.038,0.963,0.945
33,65,275.125,405.232,0.957,1.408,0.710,0.903
34,61,261.336,407.713,0.992,1.262,0.792,0.917
35,59,177.445,411.549,0.920,1.587,0.630,0.922
36,64,191.343,418.751,0.857,1.834,0.545,0.895
37,111,480.283,429.580,0.536,4.165,0.240,0.835
38,95,17.728,434.004,0.996,1.176,0.851,0.927
39,67,117.056,449.125,0.948,1.087,0.920,0.899
40,89,465.826,452.061,0.670,2.716,0.368,0.848
41,69,139.452,453.407,0.976,1.164,0.859,0.902
42,88,157.805,454.453,1.000,1.068,0.936,0.926
43,44,30.716,465.155,0.633,2.308,0.433,0.838
44,85,21.874,499.112,1.000,1.064,0.940,0.950
