 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,78,397.118,34.285,1.000,1.062,0.942,0.918
2,91,346.163,37.292,1.000,1.105,0.905,0.933
3,48,360.444,69.221,0.924,1.482,0.675,0.914
4,75,48.692,115.510,0.703,2.427,0.412,0.888
5,97,320.595,129.123,0.544,3.807,0.263,0.764
6,88,419.070,127.128,0.892,1.779,0.562,0.921
7,83,135.704,154.180,1.000,1.097,0.911,0.938
8,79,482.577,158.647,0.947,1.085,0.921,0.919
9,56,195.835,163.360,0.838,1.770,0.565,0.889
10,139,183.092,174.230,0.423,3.896,0.257,0.772
11,107,58.446,190.717,0.426,4.447,0.225,0.665
12,60,204.564,191.120,0.952,1.506,0.664,0.938
13,72,35.646,192.567,0.980,1.078,0.928,0.923
14,65,228.147,200.969,0.957,1.078,0.927,0.884
15,71,204.449,210.510,0.951,1.254,0.797,0.887
16,97,209.927,225.548,0.482,4.082,0.245,0.798
17,96,83.242,232.379,0.517,3.125,0.320,0.765
18,122,299.240,277.267,0.985,1.106,0.904,0.928
19,95,18.256,281.192,1.000,1.111,0.900,0.955
20,43,287.497,338.552,0.909,1.564,0.639,0.869
21,127,309.237,347.392,0.625,3.056,0.327,0.882
22,136,300.073,363.264,0.695,2.664,0.375,0.889
23,63,321.249,363.697,0.983,1.343,0.745,0.926
24,88,154.442,369.821,1.000,1.114,0.897,0.936
25,80,18.137,376.514,0.811,1.807,0.553,0.909
26,72,301.057,381.436,0.980,1.123,0.891,0.923
27,80,143.726,396.975,0.994,1.035,0.966,0.930
28,64,274.475,398.988,0.871,1.679,0.596,0.908
29,67,260.313,406.943,0.878,1.666,0.600,0.918
30,146,185.473,414.288,0.334,6.583,0.152,0.704
31,114,479.606,429.415,0.510,4.226,0.237,0.823
32,107,157.531,448.063,0.492,2.792,0.358,0.723
33,89,465.626,452.232,0.651,2.900,0.345,0.840
34,67,139.245,456.339,0.964,1.308,0.765,0.937
35,56,31.243,465.595,0.775,2.071,0.483,0.903
36,70,117.970,463.116,0.991,1.154,0.867,0.921
37,83,24.182,495.467,0.980,1.089,0.918,0.907
