 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,78,264.139,18.311,1.000,1.062,0.942,0.918
2,86,340.864,51.320,1.000,1.085,0.922,0.925
3,95,381.813,93.728,0.732,2.489,0.402,0.905
4,80,50.182,115.677,0.602,3.270,0.306,0.812
5,107,419.696,123.694,0.542,3.687,0.271,0.799
6,101,320.302,129.311,0.516,3.840,0.260,0.732
7,84,135.904,154.117,1.000,1.087,0.920,0.944
8,54,195.302,162.912,0.809,2.105,0.475,0.893
9,186,185.563,180.551,0.358,2.386,0.419,0.593
10,114,58.303,190.892,0.435,4.816,0.208,0.724
11,67,229.516,201.305,1.000,1.035,0.966,0.931
12,75,61.511,209.615,0.967,1.178,0.849,0.904
13,69,205.090,210.643,0.924,1.223,0.818,0.879
14,99,210.831,225.687,0.481,4.254,0.235,0.789
15,98,85.208,232.427,0.450,3.799,0.263,0.718
16,85,380.415,242.405,0.716,2.127,0.470,0.872
17,137,313.737,316.490,0.674,2.651,0.377,0.878
18,46,284.683,340.504,0.972,1.417,0.706,0.885
19,141,305.765,347.610,0.485,4.112,0.243,0.783
20,147,298.126,365.308,0.672,3.068,0.326,0.878
21,66,320.255,364.827,0.779,1.864,0.536,0.863
22,88,118.478,367.046,0.968,1.085,0.922,0.926
23,81,303.796,388.148,1.000,1.036,0.966,0.926
24,56,13.404,392.541,0.967,1.402,0.713,0.926
25,89,142.840,398.821,0.861,1.778,0.562,0.904
26,65,274.784,398.396,0.838,1.698,0.589,0.915
27,65,260.106,407.112,0.808,1.902,0.526,0.897
28,146,185.313,414.346,0.340,6.673,0.150,0.719
29,92,460.526,410.318,0.964,1.020,0.980,0.915
30,120,479.631,429.570,0.505,4.339,0.230,0.800
31,49,159.603,440.278,0.988,1.295,0.772,0.907
32,93,464.889,451.813,0.636,3.001,0.333,0.823
33,80,159.239,457.795,0.662,2.680,0.373,0.909
34,76,140.358,455.755,0.879,1.653,0.605,0.921
35,74,120.290,462.180,0.954,1.267,0.789,0.908
36,56,30.935,466.119,0.750,1.927,0.519,0.830
37,83,26.627,495.000,0.830,1.873,0.534,0.888
38,89,214.502,501.144,0.595,3.478,0.288,0.805
39,99,13.944,503.417,0.651,2.873,0.348,0.857
