 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,82,260.174,24.351,1.000,1.114,0.898,0.916
2,93,313.382,53.804,0.988,1.096,0.913,0.944
3,65,451.736,64.388,1.000,1.059,0.944,0.929
4,51,364.704,71.359,0.938,1.351,0.740,0.911
5,76,241.716,74.063,0.980,1.081,0.925,0.905
6,78,444.288,88.268,1.000,1.087,0.920,0.929
7,64,43.578,113.706,1.000,1.034,0.968,0.921
8,78,410.156,121.329,0.969,1.066,0.939,0.907
9,91,321.589,130.465,0.615,3.286,0.304,0.812
10,84,348.521,138.818,0.957,1.136,0.880,0.913
11,74,26.286,149.330,0.954,1.132,0.883,0.908
12,78,136.030,154.760,0.969,1.116,0.896,0.907
13,83,197.050,164.880,0.841,1.880,0.532,0.917
14,59,207.543,176.961,1.000,1.090,0.917,0.929
15,67,10.392,181.108,0.964,1.108,0.902,0.924
16,76,166.926,189.617,1.000,1.110,0.901,0.938
17,58,228.851,201.126,0.960,1.051,0.951,0.913
18,65,204.106,211.012,0.920,1.253,0.798,0.897
19,92,209.970,226.130,0.501,4.183,0.239,0.818
20,73,318.113,254.581,0.994,1.074,0.931,0.918
21,95,299.820,261.462,0.963,1.070,0.935,0.922
22,121,302.793,286.935,0.977,1.081,0.925,0.924
23,107,267.743,289.521,0.782,1.874,0.534,0.895
24,78,135.008,308.549,1.000,1.103,0.907,0.951
25,71,162.998,318.265,1.000,1.083,0.923,0.928
26,83,142.763,343.432,0.980,1.104,0.906,0.907
27,120,220.704,343.473,0.602,2.978,0.336,0.860
28,77,281.892,355.779,0.993,1.082,0.924,0.922
29,67,9.297,378.658,1.000,1.047,0.955,0.931
30,88,158.839,392.021,1.000,1.054,0.948,0.951
31,75,142.438,394.902,0.983,1.211,0.826,0.938
32,116,186.220,412.221,0.486,3.433,0.291,0.695
33,77,326.156,410.031,0.993,1.122,0.891,0.911
34,116,480.054,429.861,0.530,4.017,0.249,0.829
35,72,403.602,439.274,0.965,1.081,0.925,0.894
36,69,118.410,449.475,0.993,1.059,0.944,0.939
37,85,465.932,452.124,0.707,2.572,0.389,0.867
38,65,141.143,453.486,0.957,1.307,0.765,0.884
