 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,233,368.581,20.831,0.424,5.068,0.197,0.810
2,162,408.982,19.954,0.529,3.985,0.251,0.853
3,144,389.433,17.989,0.603,3.203,0.312,0.825
4,149,456.238,36.457,0.411,4.502,0.222,0.693
5,158,244.980,43.582,0.554,3.482,0.287,0.788
6,158,16.384,42.237,0.532,3.566,0.280,0.796
7,151,216.504,47.620,0.612,3.133,0.319,0.841
8,410,170.653,81.661,0.238,1.165,0.858,0.573
9,152,396.848,100.946,0.567,3.106,0.322,0.831
10,143,53.526,113.213,0.564,3.526,0.284,0.808
11,152,155.002,129.397,0.601,3.504,0.285,0.902
12,204,220.025,144.657,0.418,5.225,0.191,0.777
13,166,233.741,148.702,0.467,4.564,0.219,0.816
14,200,193.361,175.338,0.420,4.478,0.223,0.738
15,195,208.335,177.056,0.574,3.376,0.296,0.863
16,126,116.420,174.622,0.663,2.477,0.404,0.875
17,169,221.314,189.260,0.545,3.637,0.275,0.790
18,53,179.910,186.263,0.957,1.151,0.869,0.898
19,161,56.865,193.571,0.512,4.046,0.247,0.799
20,174,246.434,203.860,0.470,3.928,0.255,0.723
21,178,269.622,210.316,0.483,3.840,0.260,0.716
22,263,217.790,216.738,0.376,5.490,0.182,0.750
23,170,87.507,232.746,0.508,3.836,0.261,0.789
24,214,307.253,248.330,0.463,5.023,0.199,0.820
25,223,113.400,341.477,0.441,4.589,0.218,0.764
26,196,468.290,351.066,0.465,4.533,0.221,0.812
27,105,282.276,350.866,0.666,2.178,0.459,0.811
28,183,63.491,366.920,0.417,4.670,0.214,0.747
29,181,382.613,372.724,0.479,4.026,0.248,0.737
30,149,165.521,379.135,0.598,3.128,0.320,0.830
31,201,265.112,396.526,0.455,4.493,0.223,0.793
32,179,305.148,420.152,0.492,4.062,0.246,0.787
33,221,207.831,418.304,0.398,5.292,0.189,0.747
34,169,483.408,425.828,0.535,3.804,0.263,0.851
35,102,77.635,435.232,0.439,4.700,0.213,0.758
36,234,141.692,441.463,0.409,5.423,0.184,0.808
37,230,190.422,435.220,0.402,5.248,0.191,0.748
38,206,160.772,452.044,0.422,5.103,0.196,0.866
39,217,40.160,453.756,0.383,5.580,0.179,0.764
40,77,70.161,454.772,0.957,1.105,0.905,0.917
41,198,135.383,469.686,0.385,5.540,0.180,0.754
42,120,243.245,494.287,0.704,2.309,0.433,0.866
