 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,79,421.242,12.702,0.477,4.057,0.246,0.752
2,88,352.189,45.994,1.000,1.109,0.902,0.926
3,76,406.759,48.235,0.944,1.352,0.740,0.905
4,56,363.121,71.271,0.967,1.255,0.797,0.911
5,78,48.931,116.685,0.657,2.735,0.366,0.848
6,104,419.490,124.337,0.639,3.030,0.330,0.863
7,97,320.361,129.699,0.518,3.862,0.259,0.746
8,83,135.804,154.469,0.980,1.086,0.921,0.907
9,48,195.147,163.456,0.829,2.084,0.480,0.897
10,136,183.369,176.629,0.533,3.562,0.281,0.863
11,104,58.032,190.475,0.436,4.546,0.220,0.700
12,79,436.369,191.307,0.933,1.360,0.735,0.903
13,53,206.741,197.284,0.916,1.837,0.544,0.922
14,65,228.504,201.277,0.973,1.048,0.954,0.915
15,68,65.787,209.100,0.962,1.208,0.828,0.901
16,60,204.819,211.496,0.993,1.396,0.716,0.945
17,97,210.239,226.075,0.487,4.271,0.234,0.815
18,92,84.089,232.930,0.443,3.552,0.282,0.716
19,112,294.456,292.137,1.000,1.111,0.900,0.949
20,43,284.747,341.242,0.927,1.459,0.685,0.905
21,137,306.014,348.574,0.557,3.631,0.275,0.835
22,142,298.259,365.945,0.686,2.776,0.360,0.853
23,87,114.218,363.969,0.991,1.084,0.922,0.921
24,62,319.985,365.159,0.913,1.637,0.611,0.892
25,79,310.018,384.894,1.000,1.025,0.975,0.924
26,57,13.491,392.523,0.985,1.403,0.713,0.927
27,77,143.029,398.603,0.957,1.299,0.770,0.922
28,64,274.805,399.284,0.871,1.649,0.606,0.901
29,65,260.098,407.672,0.871,1.800,0.556,0.884
30,144,185.494,415.146,0.330,6.867,0.146,0.694
31,116,479.781,430.054,0.519,4.291,0.233,0.817
32,47,161.826,434.210,0.947,1.325,0.755,0.879
33,71,157.732,449.350,0.851,1.685,0.594,0.893
34,87,465.778,451.820,0.655,3.018,0.331,0.837
35,70,140.824,455.772,0.953,1.444,0.692,0.927
36,75,118.996,461.222,1.000,1.069,0.936,0.909
37,55,31.280,466.271,0.694,2.171,0.461,0.887
38,81,23.948,496.822,0.971,1.165,0.858,0.931
39,88,214.050,501.944,0.605,3.370,0.297,0.819
