 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,166,356.601,10.608,0.351,6.239,0.160,0.748
2,83,413.346,19.177,0.409,4.794,0.209,0.741
3,81,356.107,31.510,0.878,1.439,0.695,0.876
4,145,244.953,37.722,0.479,4.205,0.238,0.746
5,133,216.533,47.412,0.567,3.450,0.290,0.806
6,68,497.144,71.633,0.891,1.338,0.747,0.913
7,141,161.057,85.998,0.385,5.685,0.176,0.775
8,162,151.270,94.853,0.383,4.733,0.211,0.689
9,106,51.919,116.194,0.527,3.973,0.252,0.779
10,127,322.127,130.262,0.546,3.536,0.283,0.794
11,118,426.859,126.762,0.442,4.862,0.206,0.759
12,118,417.895,134.663,0.367,5.144,0.194,0.647
13,103,208.581,133.846,0.732,1.600,0.625,0.884
14,127,136.539,155.034,0.631,2.994,0.334,0.882
15,53,437.278,148.765,0.916,1.452,0.689,0.898
16,144,416.172,151.048,0.668,2.590,0.386,0.892
17,110,194.542,166.440,0.642,2.870,0.348,0.909
18,225,183.565,180.921,0.337,2.250,0.444,0.596
19,140,56.891,193.627,0.454,4.429,0.226,0.771
20,115,247.360,214.655,0.514,3.752,0.267,0.744
21,95,203.551,214.108,0.825,1.985,0.504,0.896
22,99,502.866,224.399,0.352,5.993,0.167,0.660
23,41,223.445,218.563,1.000,1.193,0.838,0.932
24,140,87.439,232.415,0.466,4.296,0.233,0.773
25,72,221.404,232.733,0.965,1.053,0.949,0.894
26,113,197.347,313.677,0.259,8.281,0.121,0.596
27,189,114.904,347.008,0.389,5.073,0.197,0.741
28,44,279.775,348.842,0.949,1.498,0.668,0.917
29,155,330.543,385.959,0.426,4.843,0.206,0.728
30,141,390.084,399.700,0.604,3.329,0.300,0.832
31,173,266.224,401.592,0.418,4.981,0.201,0.730
32,127,141.951,400.070,0.605,3.160,0.316,0.836
33,187,185.507,414.467,0.386,5.838,0.171,0.744
34,142,310.511,414.230,0.512,3.478,0.288,0.743
35,150,477.376,435.720,0.538,4.091,0.244,0.877
36,177,157.192,451.586,0.375,5.644,0.177,0.739
37,151,11.107,461.910,0.456,4.134,0.242,0.749
38,205,130.653,457.657,0.378,5.724,0.175,0.728
39,61,129.256,495.495,0.877,1.732,0.577,0.924
40,114,215.886,499.891,0.608,3.178,0.315,0.838
41,90,112.655,498.394,0.957,1.227,0.815,0.938
