 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,59,426.852,6.914,0.835,1.952,0.512,0.868
2,55,354.073,18.682,0.452,4.741,0.211,0.683
3,102,224.921,23.440,0.491,3.732,0.268,0.726
4,68,365.192,31.082,0.962,1.107,0.903,0.907
5,112,248.804,36.794,0.454,3.721,0.269,0.716
6,97,159.860,85.584,0.361,5.830,0.172,0.698
7,93,146.469,93.708,0.720,2.410,0.415,0.894
8,48,159.524,104.277,0.924,1.303,0.768,0.906
9,81,52.225,116.474,0.447,4.319,0.232,0.743
10,104,322.123,130.176,0.478,3.968,0.252,0.712
11,93,428.333,129.012,0.405,5.302,0.189,0.738
12,85,208.823,130.246,0.903,1.170,0.855,0.909
13,53,413.174,134.701,0.794,1.834,0.545,0.930
14,100,136.523,155.964,0.711,2.453,0.408,0.893
15,88,419.584,154.079,0.633,2.971,0.337,0.867
16,71,194.199,164.665,0.781,2.181,0.459,0.899
17,133,181.318,179.349,0.473,3.950,0.253,0.818
18,45,191.689,188.733,0.951,1.539,0.650,0.909
19,116,57.012,193.766,0.417,4.871,0.205,0.727
20,91,275.294,212.454,0.432,4.236,0.236,0.700
21,77,206.391,209.799,0.877,1.612,0.620,0.895
22,63,232.670,210.840,0.983,1.054,0.949,0.920
23,118,87.150,232.375,0.437,4.588,0.218,0.740
24,128,290.826,353.544,0.402,4.050,0.247,0.675
25,136,302.344,373.089,0.450,4.258,0.235,0.747
26,124,284.498,377.758,0.659,2.933,0.341,0.905
27,120,330.663,387.131,0.376,4.916,0.203,0.674
28,64,16.012,395.407,0.825,1.871,0.534,0.895
29,154,266.917,401.746,0.394,5.207,0.192,0.700
30,106,142.616,400.303,0.566,3.472,0.288,0.815
31,112,312.028,410.483,0.539,3.400,0.294,0.778
32,160,185.934,414.554,0.345,6.501,0.154,0.706
33,108,411.018,415.779,0.747,2.241,0.446,0.896
34,91,7.257,428.977,0.815,1.993,0.502,0.897
35,131,478.670,431.881,0.496,4.271,0.234,0.816
36,50,155.170,441.686,0.793,1.725,0.580,0.909
37,83,159.552,457.907,0.574,3.298,0.303,0.856
38,170,132.325,460.820,0.317,6.397,0.156,0.644
39,42,129.349,496.118,0.846,1.661,0.602,0.857
40,82,112.484,498.512,0.968,1.139,0.878,0.906
41,95,215.069,500.616,0.596,3.362,0.297,0.798
