 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,191,356.703,9.895,0.357,5.971,0.167,0.729
2,99,412.573,19.145,0.402,4.791,0.209,0.750
3,85,366.359,22.891,0.903,1.771,0.565,0.934
4,152,244.080,38.431,0.483,4.089,0.245,0.788
5,133,216.666,47.481,0.562,3.530,0.283,0.792
6,62,495.172,52.043,0.967,1.366,0.732,0.919
7,139,160.666,88.865,0.386,5.619,0.178,0.737
8,163,150.521,96.547,0.367,4.421,0.226,0.652
9,41,345.662,89.999,0.696,2.619,0.382,0.820
10,128,440.110,115.244,0.485,4.347,0.230,0.783
11,109,52.370,115.768,0.524,3.856,0.259,0.784
12,131,430.000,122.386,0.430,4.654,0.215,0.716
13,131,322.523,130.497,0.569,3.478,0.288,0.837
14,181,206.601,135.134,0.386,5.158,0.194,0.740
15,213,434.257,138.752,0.365,5.119,0.195,0.734
16,131,137.394,154.694,0.589,3.223,0.310,0.879
17,149,194.376,165.853,0.524,4.057,0.247,0.884
18,227,183.229,181.149,0.386,2.191,0.456,0.644
19,142,57.019,193.581,0.472,4.292,0.233,0.791
20,110,242.732,208.999,0.536,3.759,0.266,0.772
21,100,203.985,214.077,0.807,2.053,0.487,0.913
22,74,222.945,231.421,1.000,1.130,0.885,0.931
23,145,87.436,232.543,0.482,4.241,0.236,0.797
24,139,501.456,278.126,0.619,3.112,0.321,0.877
25,163,213.647,293.717,0.368,6.288,0.159,0.743
26,195,114.112,347.092,0.376,5.303,0.189,0.762
27,45,279.491,349.083,0.970,1.467,0.682,0.928
28,105,57.098,373.698,0.305,6.815,0.147,0.682
29,155,329.868,386.417,0.438,4.641,0.215,0.723
30,151,397.685,389.740,0.530,3.651,0.274,0.778
31,173,266.160,401.678,0.425,5.007,0.200,0.730
32,128,141.249,399.130,0.608,3.141,0.318,0.850
33,186,185.603,414.617,0.400,5.815,0.172,0.755
34,142,309.197,414.929,0.523,3.536,0.283,0.761
35,158,477.419,436.049,0.582,3.725,0.268,0.900
36,77,42.309,444.978,0.317,6.176,0.162,0.748
37,174,158.110,451.355,0.385,5.639,0.177,0.755
38,158,13.807,462.558,0.416,4.568,0.219,0.751
39,210,130.574,454.613,0.377,5.812,0.172,0.797
40,49,191.810,464.014,0.566,3.555,0.281,0.824
41,74,184.408,480.254,0.887,1.568,0.638,0.914
42,58,129.013,495.309,0.868,1.735,0.576,0.913
43,110,342.892,499.615,0.655,2.805,0.357,0.853
44,99,112.235,498.770,0.849,1.788,0.559,0.896
45,116,215.337,500.353,0.628,3.112,0.321,0.835
