 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,57,422.849,8.838,0.492,3.808,0.263,0.838
2,72,387.917,21.587,0.980,1.070,0.935,0.923
3,83,256.360,29.805,0.980,1.236,0.809,0.912
4,107,160.987,84.600,0.352,5.852,0.171,0.725
5,88,147.046,94.121,0.892,1.722,0.581,0.921
6,53,159.309,103.521,0.932,1.225,0.816,0.930
7,95,51.804,116.376,0.563,3.736,0.268,0.809
8,98,212.617,118.724,0.930,1.402,0.713,0.933
9,116,320.374,129.466,0.548,3.707,0.270,0.771
10,91,421.308,123.215,0.413,5.438,0.184,0.781
11,48,407.433,132.244,0.986,1.170,0.855,0.941
12,72,420.258,148.545,0.633,2.810,0.356,0.837
13,100,136.394,155.713,0.817,2.047,0.488,0.922
14,64,192.746,162.853,0.838,1.935,0.517,0.908
15,201,184.175,181.464,0.317,2.080,0.481,0.593
16,107,285.450,181.490,0.471,4.162,0.240,0.743
17,121,56.969,193.941,0.442,4.766,0.210,0.776
18,68,229.349,198.513,1.000,1.041,0.961,0.932
19,83,205.266,209.925,0.980,1.261,0.793,0.912
20,121,210.539,232.484,0.496,4.284,0.233,0.829
21,117,86.857,232.500,0.445,4.292,0.233,0.722
22,41,189.463,277.944,0.976,1.315,0.760,0.891
23,147,294.679,352.869,0.462,4.230,0.236,0.737
24,102,283.540,371.710,0.725,2.164,0.462,0.876
25,145,301.577,371.979,0.480,3.915,0.255,0.757
26,133,329.976,386.961,0.444,4.494,0.223,0.719
27,66,15.520,391.067,0.851,1.619,0.618,0.868
28,101,311.671,395.278,0.851,1.668,0.600,0.902
29,113,142.140,399.845,0.577,3.347,0.299,0.822
30,159,267.175,402.298,0.407,5.064,0.197,0.699
31,102,419.537,401.449,0.859,1.644,0.608,0.915
32,166,185.531,414.529,0.353,6.426,0.156,0.722
33,132,481.010,429.369,0.510,4.203,0.238,0.838
34,156,159.386,451.521,0.361,5.942,0.168,0.743
35,177,131.923,460.527,0.315,6.292,0.159,0.644
36,80,30.833,463.219,0.499,3.627,0.276,0.804
37,51,129.332,496.249,0.881,1.675,0.597,0.895
38,86,112.406,498.473,0.966,1.083,0.924,0.896
39,102,214.745,501.195,0.623,3.246,0.308,0.836
