 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,93,255.595,24.497,1.000,1.043,0.959,0.921
2,74,143.772,33.600,1.000,1.095,0.913,0.937
3,81,366.375,49.438,0.956,1.086,0.921,0.900
4,96,141.006,63.374,0.960,1.102,0.908,0.901
5,59,366.115,72.540,0.959,1.199,0.834,0.901
6,87,280.955,97.078,1.000,1.022,0.978,0.951
7,70,46.914,115.780,0.953,1.325,0.754,0.915
8,84,411.396,121.706,0.957,1.056,0.947,0.903
9,104,321.143,129.863,0.549,3.432,0.291,0.768
10,50,165.621,126.211,0.962,1.275,0.784,0.909
11,96,385.230,152.959,0.973,1.044,0.958,0.923
12,86,136.124,154.731,0.966,1.123,0.890,0.896
13,97,197.835,165.857,0.653,2.367,0.423,0.886
14,80,302.946,186.423,0.994,1.075,0.930,0.920
15,71,201.850,194.008,1.000,1.329,0.752,0.928
16,79,36.381,199.749,0.967,1.173,0.853,0.908
17,63,229.136,201.384,1.000,1.008,0.992,0.926
18,70,204.295,210.860,0.953,1.353,0.739,0.921
19,84,486.084,214.168,1.000,1.047,0.955,0.944
20,99,210.112,225.905,0.514,3.969,0.252,0.828
21,92,393.494,228.793,1.000,1.225,0.816,0.948
22,75,77.757,232.201,0.983,1.141,0.876,0.938
23,82,184.607,269.104,1.000,1.051,0.952,0.911
24,75,358.216,327.232,0.967,1.204,0.831,0.898
25,62,9.542,325.417,0.754,2.622,0.381,0.954
26,96,328.243,335.029,0.973,1.037,0.964,0.928
27,125,347.115,342.175,0.980,1.151,0.869,0.936
28,107,312.436,345.820,0.917,1.274,0.785,0.899
29,73,11.190,378.346,0.994,1.114,0.897,0.930
30,88,174.296,379.178,1.000,1.083,0.923,0.926
31,80,142.858,395.613,0.994,1.108,0.902,0.925
32,83,310.911,398.950,0.995,1.023,0.978,0.927
33,71,219.502,403.429,1.000,1.059,0.944,0.953
34,135,267.585,406.458,0.451,3.640,0.275,0.705
35,140,184.941,415.399,0.416,4.516,0.221,0.683
36,90,159.345,412.978,0.990,1.095,0.913,0.938
37,118,480.148,429.417,0.540,4.020,0.249,0.822
38,96,12.160,442.232,1.000,1.172,0.853,0.932
39,91,465.821,452.079,0.665,2.774,0.360,0.854
40,71,117.438,453.424,1.000,1.059,0.944,0.953
41,72,140.304,454.711,1.000,1.160,0.862,0.923
42,98,159.174,455.518,0.948,1.035,0.966,0.899
43,53,30.709,464.987,0.527,2.958,0.338,0.815
44,75,7.227,482.151,1.000,1.113,0.899,0.909
45,92,21.528,499.442,0.998,1.048,0.954,0.915
