 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,61,398.498,26.095,0.992,1.071,0.934,0.910
2,73,257.186,32.045,0.978,1.076,0.929,0.896
3,42,497.989,62.822,0.951,1.246,0.802,0.875
4,74,147.774,97.004,0.874,1.604,0.624,0.886
5,80,220.372,105.746,0.944,1.297,0.771,0.904
6,46,160.442,104.253,0.992,1.220,0.819,0.929
7,63,51.441,115.910,0.466,4.658,0.215,0.741
8,91,320.297,129.588,0.474,4.135,0.242,0.705
9,88,136.339,155.773,0.799,1.900,0.526,0.889
10,116,182.270,176.273,0.409,3.750,0.267,0.741
11,86,308.588,186.332,0.439,4.518,0.221,0.683
12,49,191.372,188.555,0.943,1.297,0.771,0.907
13,53,51.539,193.647,0.775,2.453,0.408,0.955
14,58,231.391,204.258,1.000,1.090,0.917,0.928
15,70,205.542,210.557,0.975,1.184,0.845,0.892
16,102,207.498,228.054,0.469,4.604,0.217,0.803
17,56,80.918,233.338,0.792,1.615,0.619,0.868
18,114,295.456,353.353,0.450,4.340,0.230,0.704
19,93,283.076,371.393,0.783,2.078,0.481,0.894
20,115,300.352,371.906,0.478,3.961,0.252,0.757
21,70,332.319,391.989,0.903,1.566,0.638,0.897
22,58,15.732,393.424,0.943,1.531,0.653,0.899
23,93,142.080,400.151,0.540,3.598,0.278,0.775
24,65,274.846,398.218,0.808,1.875,0.533,0.909
25,80,310.321,401.740,0.944,1.395,0.717,0.914
26,84,429.139,402.409,0.924,1.381,0.724,0.918
27,59,259.632,407.175,0.749,2.308,0.433,0.874
28,129,186.125,414.326,0.303,7.575,0.132,0.648
29,82,19.130,412.814,0.983,1.045,0.957,0.932
30,116,481.422,429.217,0.519,4.319,0.232,0.838
31,45,159.275,440.454,0.866,1.576,0.635,0.900
32,89,470.598,446.432,0.626,2.858,0.350,0.840
33,70,161.344,458.235,0.569,3.497,0.286,0.927
34,67,142.007,456.288,0.712,2.368,0.422,0.882
35,56,120.757,465.285,0.911,1.505,0.665,0.896
36,92,24.609,492.924,0.692,2.593,0.386,0.868
37,82,214.818,500.961,0.563,3.627,0.276,0.788
38,78,112.647,498.962,0.969,1.062,0.942,0.918
