 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,86,421.175,12.863,0.494,3.895,0.257,0.748
2,80,401.258,32.864,0.994,1.081,0.925,0.920
3,92,345.365,34.906,1.000,1.103,0.907,0.939
4,50,358.990,68.858,0.962,1.488,0.672,0.926
5,77,49.011,116.411,0.677,2.673,0.374,0.870
6,103,419.718,124.156,0.712,2.701,0.370,0.888
7,101,320.961,129.790,0.521,3.886,0.257,0.757
8,84,135.709,154.248,1.000,1.082,0.924,0.944
9,60,195.653,163.706,0.849,1.739,0.575,0.889
10,83,466.275,168.614,0.980,1.219,0.820,0.912
11,144,183.867,176.578,0.512,3.713,0.269,0.835
12,112,58.375,190.528,0.433,4.775,0.209,0.732
13,66,208.003,197.029,0.791,2.044,0.489,0.880
14,66,228.497,201.183,0.972,1.033,0.968,0.892
15,70,65.798,209.145,0.991,1.191,0.840,0.915
16,69,205.154,211.288,0.976,1.422,0.703,0.914
17,100,210.529,225.987,0.502,4.170,0.240,0.826
18,97,84.180,232.781,0.515,3.292,0.304,0.755
19,120,283.384,289.588,0.969,1.144,0.874,0.923
20,96,18.633,296.863,0.960,1.101,0.908,0.901
21,43,285.800,340.611,0.974,1.458,0.686,0.905
22,140,307.868,348.165,0.581,3.481,0.287,0.841
23,150,299.823,365.604,0.665,2.909,0.344,0.847
24,62,321.408,364.480,0.967,1.401,0.714,0.912
25,89,124.633,366.432,0.965,1.073,0.932,0.899
26,82,315.776,392.267,1.000,1.080,0.926,0.932
27,81,143.539,398.380,0.971,1.319,0.758,0.936
28,67,274.875,399.231,0.803,1.788,0.559,0.899
29,69,260.870,407.280,0.827,1.734,0.577,0.902
30,150,185.808,414.746,0.324,6.724,0.149,0.698
31,120,480.134,429.976,0.520,4.268,0.234,0.825
32,49,162.681,436.331,0.988,1.231,0.812,0.907
33,72,158.177,450.261,0.895,1.517,0.659,0.911
34,92,466.044,451.928,0.647,2.990,0.334,0.836
35,74,141.019,455.716,0.906,1.366,0.732,0.876
36,78,119.541,460.825,0.969,1.014,0.986,0.918
37,62,31.814,465.655,0.692,2.394,0.418,0.892
38,89,7.886,472.025,0.965,1.422,0.703,0.913
39,83,23.975,496.158,0.995,1.157,0.864,0.933
40,91,214.828,501.468,0.650,3.149,0.318,0.805
