 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,77,265.678,24.351,0.957,1.087,0.920,0.906
2,68,485.866,24.542,0.926,1.077,0.928,0.895
3,79,341.667,67.858,0.947,1.064,0.940,0.913
4,90,373.042,108.812,0.602,3.471,0.288,0.793
5,75,50.421,115.480,0.588,3.283,0.305,0.811
6,99,320.214,128.915,0.523,3.922,0.255,0.753
7,105,419.779,123.712,0.532,3.871,0.258,0.811
8,81,136.067,154.075,1.000,1.117,0.895,0.936
9,54,195.044,162.843,0.777,2.093,0.478,0.893
10,183,185.920,180.921,0.358,2.313,0.432,0.591
11,103,57.429,190.852,0.426,4.853,0.206,0.713
12,60,229.688,201.819,0.976,1.015,0.985,0.902
13,70,63.774,208.266,0.953,1.137,0.880,0.915
14,68,205.257,210.654,0.947,1.285,0.778,0.883
15,95,210.747,225.602,0.477,4.333,0.231,0.812
16,94,85.277,232.489,0.419,3.960,0.253,0.686
17,81,351.075,257.906,0.878,1.776,0.563,0.900
18,132,302.803,340.800,0.647,2.560,0.391,0.852
19,63,284.593,343.042,0.906,1.613,0.620,0.926
20,132,315.871,359.840,0.418,4.458,0.224,0.677
21,117,298.110,365.302,0.679,2.706,0.370,0.870
22,79,308.061,381.544,0.900,1.340,0.746,0.908
23,54,13.805,391.836,0.975,1.194,0.837,0.900
24,85,142.762,398.957,0.822,2.045,0.489,0.909
25,63,275.026,398.444,0.858,1.605,0.623,0.906
26,87,97.538,403.935,0.991,1.081,0.925,0.930
27,64,260.138,407.158,0.825,1.958,0.511,0.901
28,137,185.523,414.249,0.324,7.034,0.142,0.670
29,107,480.482,429.760,0.460,4.925,0.203,0.787
30,78,469.861,438.585,0.935,1.276,0.784,0.918
31,50,159.533,440.448,0.903,1.359,0.736,0.893
32,83,464.806,451.753,0.574,3.463,0.289,0.818
33,76,160.998,457.821,0.731,2.521,0.397,0.933
34,71,140.749,455.607,0.851,1.961,0.510,0.928
35,68,119.799,461.848,0.962,1.427,0.701,0.919
36,52,30.493,465.726,0.708,2.010,0.498,0.852
37,88,26.894,495.920,0.813,1.774,0.564,0.880
38,89,214.659,501.114,0.595,3.590,0.279,0.798
