 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,89,354.038,46.947,0.979,1.062,0.942,0.932
2,78,410.528,59.829,0.921,1.646,0.607,0.907
3,53,360.706,69.696,0.916,1.467,0.682,0.898
4,78,49.225,116.396,0.630,2.859,0.350,0.834
5,96,320.474,129.356,0.525,3.817,0.262,0.762
6,105,419.613,124.152,0.663,3.050,0.328,0.871
7,84,135.900,154.309,0.992,1.066,0.938,0.913
8,54,195.840,163.257,0.777,1.995,0.501,0.900
9,132,183.635,177.162,0.556,3.488,0.287,0.852
10,111,58.503,190.613,0.429,4.681,0.214,0.700
11,80,425.320,195.683,0.880,1.564,0.639,0.909
12,72,200.247,197.197,0.750,2.486,0.402,0.935
13,61,228.862,201.218,1.000,1.103,0.907,0.938
14,72,62.270,209.456,1.000,1.115,0.897,0.923
15,67,205.036,211.142,0.987,1.366,0.732,0.912
16,95,210.574,225.953,0.488,4.343,0.230,0.819
17,94,84.377,232.740,0.452,3.538,0.283,0.712
18,120,298.835,313.025,0.929,1.471,0.680,0.920
19,40,283.912,341.714,0.973,1.334,0.750,0.920
20,135,305.857,348.668,0.533,3.895,0.257,0.831
21,148,298.431,366.321,0.642,3.101,0.322,0.839
22,64,320.020,365.047,0.906,1.599,0.625,0.895
23,86,112.800,369.675,0.946,1.056,0.947,0.915
24,81,308.197,392.405,0.991,1.041,0.961,0.905
25,58,13.539,392.466,0.960,1.379,0.725,0.935
26,81,143.201,398.690,0.923,1.427,0.701,0.915
27,67,274.914,399.121,0.878,1.673,0.598,0.918
28,67,260.331,407.453,0.833,1.837,0.544,0.899
29,140,185.473,414.854,0.328,6.918,0.145,0.695
30,115,479.801,429.989,0.514,4.295,0.233,0.821
31,48,161.434,433.573,0.967,1.212,0.825,0.889
32,73,157.640,449.066,0.844,1.878,0.532,0.930
33,92,465.534,451.446,0.629,2.933,0.341,0.852
34,72,140.796,455.841,0.943,1.446,0.691,0.935
35,74,119.255,461.467,0.969,1.023,0.978,0.925
36,57,31.466,466.460,0.776,1.947,0.514,0.870
37,83,23.971,495.938,0.995,1.266,0.790,0.938
38,89,214.047,501.737,0.595,3.423,0.292,0.795
