 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,92,270.306,31.088,0.978,1.078,0.928,0.939
2,74,118.948,33.724,1.000,1.100,0.909,0.925
3,80,359.918,38.003,0.994,1.086,0.921,0.920
4,96,139.384,51.400,1.000,1.079,0.927,0.928
5,60,365.972,71.946,0.936,1.281,0.780,0.896
6,88,297.409,103.204,0.968,1.080,0.926,0.917
7,68,46.704,115.945,1.000,1.272,0.786,0.938
8,79,411.980,121.574,0.982,1.074,0.932,0.924
9,103,321.225,130.031,0.571,3.528,0.283,0.789
10,71,501.229,143.211,1.000,1.060,0.943,0.916
11,98,379.353,150.523,0.993,1.041,0.960,0.929
12,85,136.188,154.582,0.954,1.116,0.896,0.890
13,93,196.977,165.370,0.688,2.221,0.450,0.890
14,81,293.945,162.831,1.000,1.026,0.974,0.936
15,65,202.759,193.230,0.957,1.310,0.763,0.897
16,80,36.234,195.981,0.994,1.139,0.878,0.930
17,85,483.976,198.563,1.000,1.053,0.950,0.919
18,64,229.086,200.789,0.998,1.004,0.996,0.914
19,71,204.366,210.722,0.989,1.271,0.786,0.899
20,84,72.882,227.568,0.957,1.211,0.826,0.908
21,98,210.200,225.911,0.521,3.969,0.252,0.827
22,90,399.037,231.060,0.990,1.428,0.700,0.938
23,81,197.990,272.786,1.000,1.026,0.974,0.936
24,101,335.762,314.722,0.977,1.105,0.905,0.918
25,83,358.698,321.564,0.980,1.156,0.865,0.917
26,66,16.849,331.618,0.752,2.385,0.419,0.880
27,130,320.633,335.033,0.538,2.589,0.386,0.745
28,133,343.225,333.943,0.973,1.163,0.859,0.930
29,72,11.280,377.750,0.980,1.056,0.947,0.917
30,89,165.453,377.963,0.979,1.076,0.929,0.932
31,77,142.544,395.017,1.000,1.089,0.918,0.945
32,81,302.857,395.162,1.000,1.036,0.966,0.926
33,90,157.881,402.732,1.000,1.055,0.948,0.938
34,74,224.107,401.600,1.000,1.080,0.926,0.925
35,132,267.883,406.202,0.437,3.685,0.271,0.698
36,65,177.668,411.753,0.838,1.565,0.639,0.872
37,65,191.249,418.767,0.871,1.841,0.543,0.903
38,98,31.955,426.429,0.948,1.134,0.882,0.903
39,115,480.144,429.382,0.526,4.155,0.241,0.816
40,69,116.577,449.277,0.939,1.068,0.937,0.908
41,91,465.883,452.135,0.685,2.696,0.371,0.854
42,72,139.319,453.462,1.000,1.179,0.848,0.923
43,93,157.609,454.346,0.943,1.037,0.964,0.912
44,51,30.794,464.650,0.524,2.960,0.338,0.810
45,88,22.159,498.480,0.954,1.096,0.912,0.898
