 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,217,356.058,9.818,0.392,5.331,0.188,0.778
2,118,411.961,19.342,0.451,4.668,0.214,0.797
3,100,378.370,20.265,0.673,2.350,0.426,0.905
4,154,242.720,38.655,0.508,3.734,0.268,0.792
5,139,216.863,47.582,0.587,3.334,0.300,0.822
6,170,163.054,87.762,0.401,5.313,0.188,0.776
7,48,360.801,81.994,0.924,1.366,0.732,0.897
8,174,151.683,94.869,0.392,4.523,0.221,0.690
9,57,351.924,95.348,0.735,2.334,0.428,0.857
10,134,478.257,114.456,0.514,4.273,0.234,0.791
11,54,9.198,112.418,0.624,2.445,0.409,0.850
12,122,52.184,115.277,0.527,3.748,0.267,0.785
13,133,467.406,119.366,0.491,4.273,0.234,0.749
14,143,332.108,128.375,0.564,3.484,0.287,0.799
15,220,465.741,135.024,0.388,5.054,0.198,0.722
16,185,216.950,137.206,0.398,4.871,0.205,0.739
17,143,137.192,154.368,0.579,3.412,0.293,0.872
18,58,209.952,155.184,0.386,3.833,0.261,0.678
19,175,190.678,165.791,0.490,3.943,0.254,0.808
20,234,183.324,182.029,0.378,2.102,0.476,0.635
21,144,57.142,193.472,0.512,4.120,0.243,0.807
22,122,251.098,203.245,0.494,3.818,0.262,0.760
23,109,204.108,214.643,0.717,2.375,0.421,0.905
24,68,223.062,214.560,0.891,1.281,0.781,0.901
25,69,235.697,229.780,0.748,2.081,0.481,0.868
26,45,468.912,229.461,0.812,1.929,0.518,0.865
27,85,221.165,232.414,0.922,1.486,0.673,0.904
28,154,87.668,232.539,0.512,4.096,0.244,0.796
29,185,230.691,275.497,0.365,6.069,0.165,0.768
30,202,113.566,349.130,0.420,4.874,0.205,0.818
31,73,281.857,350.402,0.549,2.727,0.367,0.699
32,130,57.933,372.911,0.336,6.482,0.154,0.718
33,157,351.766,381.553,0.449,4.628,0.216,0.762
34,157,423.855,378.192,0.532,3.586,0.279,0.797
35,189,266.557,402.226,0.433,4.732,0.211,0.756
36,129,143.934,398.261,0.645,3.215,0.311,0.942
37,197,186.917,413.462,0.375,5.830,0.172,0.773
38,158,308.245,417.334,0.529,3.741,0.267,0.782
39,192,185.084,439.138,0.348,6.070,0.165,0.756
40,164,477.479,434.504,0.537,3.856,0.259,0.848
41,200,131.145,446.286,0.390,5.621,0.178,0.780
42,169,155.928,453.546,0.351,5.904,0.169,0.738
43,181,15.394,460.707,0.401,5.074,0.197,0.727
44,66,128.790,495.564,0.898,1.600,0.625,0.904
45,114,110.324,500.926,0.723,2.353,0.425,0.877
46,68,233.141,498.835,0.926,1.274,0.785,0.895
