 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,77,283.874,19.763,0.993,1.082,0.924,0.922
2,54,364.333,71.302,0.933,1.395,0.717,0.908
3,87,349.270,74.861,0.991,1.093,0.915,0.926
4,79,390.005,85.049,0.982,1.075,0.930,0.924
5,72,49.035,115.809,0.706,2.302,0.434,0.873
6,85,413.886,125.286,0.968,1.119,0.894,0.914
7,96,320.431,129.522,0.530,3.750,0.267,0.759
8,87,136.119,154.643,0.977,1.089,0.919,0.902
9,93,196.264,165.692,0.651,2.553,0.392,0.903
10,94,181.698,174.118,0.746,2.190,0.457,0.913
11,90,163.191,173.374,0.957,1.281,0.780,0.938
12,107,59.066,191.382,0.472,3.873,0.258,0.711
13,83,482.750,195.257,0.980,1.083,0.924,0.907
14,59,202.453,196.371,0.920,1.500,0.667,0.908
15,66,228.316,201.566,1.000,1.078,0.928,0.936
16,72,31.233,208.318,0.980,1.085,0.922,0.923
17,66,204.933,211.221,0.972,1.396,0.716,0.904
18,100,210.231,226.112,0.502,4.158,0.241,0.840
19,93,82.902,232.714,0.572,2.768,0.361,0.798
20,124,313.969,320.799,0.933,1.091,0.916,0.915
21,93,29.546,342.304,0.975,1.163,0.860,0.921
22,113,310.488,347.846,0.705,2.309,0.433,0.873
23,138,301.648,365.434,0.747,2.265,0.442,0.885
24,67,321.458,364.154,0.987,1.373,0.728,0.912
25,86,315.990,383.943,0.994,1.040,0.962,0.945
26,80,142.287,396.882,0.959,1.051,0.951,0.920
27,76,38.714,398.944,0.980,1.228,0.814,0.921
28,65,274.801,399.254,0.885,1.603,0.624,0.909
29,87,158.767,401.803,0.991,1.044,0.957,0.921
30,67,260.848,407.273,0.833,1.651,0.606,0.887
31,147,185.587,414.649,0.356,6.195,0.161,0.700
32,119,480.114,429.977,0.516,4.315,0.232,0.818
33,102,158.582,452.895,0.859,1.506,0.664,0.911
34,89,465.702,452.699,0.658,2.919,0.343,0.860
35,72,139.929,456.257,0.929,1.305,0.766,0.894
36,73,118.216,461.396,0.994,1.086,0.921,0.930
37,54,31.506,465.504,0.657,2.661,0.376,0.893
38,85,23.928,496.116,1.000,1.064,0.940,0.950
