 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,99,353.971,50.492,0.958,1.061,0.942,0.904
2,81,400.364,69.726,0.923,1.065,0.939,0.895
3,59,364.476,71.749,0.976,1.423,0.703,0.937
4,76,49.054,115.872,0.712,2.490,0.402,0.869
5,87,412.828,123.579,0.957,1.265,0.791,0.930
6,99,320.390,129.307,0.523,3.790,0.264,0.764
7,92,173.142,148.150,0.932,1.434,0.697,0.925
8,86,135.795,154.341,1.000,1.085,0.922,0.925
9,98,196.311,165.906,0.686,2.557,0.391,0.920
10,103,181.827,175.078,0.675,2.615,0.382,0.907
11,68,17.572,176.208,0.763,2.335,0.428,0.889
12,81,476.956,181.165,1.000,1.036,0.966,0.926
13,66,206.144,184.869,0.988,1.263,0.792,0.930
14,115,58.850,191.246,0.478,4.065,0.246,0.701
15,64,228.084,200.818,0.998,1.004,0.996,0.914
16,69,32.329,207.778,1.000,1.070,0.934,0.939
17,72,204.737,210.847,1.000,1.160,0.862,0.923
18,99,210.295,225.830,0.509,3.921,0.255,0.802
19,96,83.030,232.694,0.549,2.873,0.348,0.774
20,123,304.249,297.341,0.993,1.105,0.905,0.932
21,97,24.599,307.927,0.951,1.152,0.868,0.928
22,40,287.378,339.430,0.887,1.503,0.665,0.842
23,120,309.947,347.958,0.686,2.414,0.414,0.892
24,133,300.847,364.462,0.764,2.335,0.428,0.896
25,68,321.397,364.115,0.962,1.421,0.704,0.919
26,77,21.532,378.827,0.923,1.440,0.695,0.911
27,93,158.009,382.542,0.930,1.068,0.936,0.886
28,74,307.413,382.316,0.991,1.066,0.938,0.902
29,84,142.434,397.094,0.992,1.094,0.914,0.913
30,66,274.514,399.094,0.898,1.599,0.625,0.917
31,69,260.336,407.250,0.857,1.677,0.596,0.902
32,150,185.509,414.751,0.357,6.305,0.159,0.713
33,121,480.174,429.919,0.525,4.206,0.238,0.823
34,105,157.146,451.509,0.790,1.605,0.623,0.879
35,90,465.601,452.711,0.666,2.864,0.349,0.857
36,76,139.074,456.709,0.944,1.258,0.795,0.916
37,57,31.242,465.865,0.747,2.248,0.445,0.884
38,72,118.014,463.451,0.980,1.096,0.913,0.911
39,88,11.752,484.536,0.954,1.053,0.949,0.893
40,79,24.051,496.400,1.000,1.035,0.966,0.924
