 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,75,427.813,18.485,1.000,1.086,0.921,0.932
2,72,281.211,58.556,0.980,1.078,0.928,0.923
3,55,364.495,71.981,0.993,1.394,0.718,0.909
4,113,182.514,103.707,0.803,1.878,0.533,0.904
5,67,43.356,113.452,1.000,1.047,0.955,0.931
6,81,414.492,121.597,0.971,1.199,0.834,0.920
7,99,320.665,130.106,0.627,3.089,0.324,0.818
8,91,336.486,138.430,0.987,1.042,0.959,0.910
9,84,135.978,154.608,0.957,1.147,0.872,0.908
10,91,304.321,156.043,1.000,1.076,0.930,0.943
11,91,196.080,164.971,0.826,1.915,0.522,0.915
12,124,266.453,166.050,0.972,1.091,0.916,0.936
13,66,209.187,172.962,0.934,1.109,0.901,0.892
14,76,144.816,177.924,1.000,1.090,0.918,0.916
15,86,104.302,192.201,1.000,1.128,0.887,0.925
16,100,142.113,198.764,0.907,1.542,0.649,0.930
17,63,228.407,201.174,0.983,1.056,0.947,0.913
18,112,263.753,207.426,0.904,1.344,0.744,0.900
19,91,116.673,206.031,0.967,1.108,0.902,0.933
20,70,203.772,210.688,0.991,1.202,0.832,0.909
21,94,209.175,225.903,0.525,3.911,0.256,0.836
22,78,305.274,228.921,0.969,1.082,0.924,0.907
23,92,149.155,278.000,1.000,1.085,0.922,0.948
24,79,343.868,330.888,1.000,1.069,0.936,0.935
25,92,22.397,356.227,1.000,1.114,0.897,0.939
26,78,346.130,357.572,0.969,1.062,0.942,0.918
27,76,10.980,378.093,1.000,1.046,0.956,0.916
28,82,142.418,394.817,0.968,1.104,0.906,0.901
29,116,479.815,429.817,0.530,4.112,0.243,0.814
30,67,323.712,446.532,1.000,1.035,0.966,0.931
31,72,117.745,450.397,1.000,1.123,0.890,0.929
32,88,465.497,452.112,0.710,2.476,0.404,0.876
33,65,140.926,453.401,0.997,1.202,0.832,0.897
