 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,88,275.031,28.034,1.000,1.043,0.959,0.926
2,76,124.936,43.883,0.980,1.023,0.978,0.916
3,78,349.928,49.843,1.000,1.057,0.946,0.929
4,94,140.719,55.425,0.940,1.025,0.976,0.904
5,51,365.615,71.308,0.981,1.301,0.768,0.919
6,85,294.312,100.881,0.968,1.056,0.947,0.919
7,62,46.301,115.263,1.000,1.151,0.869,0.939
8,77,412.621,121.024,0.993,1.044,0.958,0.911
9,96,321.651,129.967,0.552,3.630,0.275,0.768
10,68,486.345,138.022,1.000,1.064,0.940,0.907
11,91,380.403,144.180,1.000,1.112,0.899,0.933
12,79,136.002,153.970,0.982,1.155,0.866,0.924
13,77,305.146,159.397,0.993,1.086,0.920,0.911
14,88,196.889,164.743,0.670,2.133,0.469,0.880
15,79,481.875,173.744,0.982,1.134,0.882,0.929
16,64,206.558,185.586,0.958,1.031,0.970,0.908
17,63,228.486,200.505,0.983,1.001,0.999,0.900
18,77,40.579,202.362,0.993,1.151,0.869,0.917
19,67,203.878,210.183,1.000,1.245,0.803,0.937
20,93,209.782,225.293,0.519,3.982,0.251,0.819
21,67,61.569,227.318,1.000,1.035,0.966,0.931
22,81,382.866,237.550,0.971,1.091,0.917,0.931
23,81,192.906,267.972,0.971,1.067,0.937,0.926
24,93,336.031,316.091,0.975,1.146,0.872,0.925
25,71,369.308,321.721,0.951,1.008,0.992,0.882
26,122,321.003,332.223,0.621,2.520,0.397,0.800
27,60,29.881,331.913,0.694,2.584,0.387,0.870
28,117,339.766,335.390,0.956,1.101,0.909,0.936
29,84,163.043,367.936,1.000,1.048,0.954,0.933
30,70,10.831,377.343,1.000,1.105,0.905,0.921
31,74,142.525,394.593,0.969,1.119,0.894,0.931
32,72,218.873,394.952,0.965,1.047,0.955,0.889
33,82,159.616,397.960,1.000,1.005,0.995,0.943
34,81,295.859,400.162,1.000,1.036,0.966,0.926
35,63,274.207,404.421,0.928,1.427,0.701,0.894
36,63,260.980,407.110,0.928,1.371,0.730,0.894
37,56,177.409,411.787,0.911,1.423,0.703,0.889
38,84,22.120,415.577,1.000,1.213,0.825,0.949
39,63,191.055,418.070,0.892,1.670,0.599,0.900
40,110,479.886,428.964,0.519,4.143,0.241,0.815
41,67,116.446,448.564,1.000,1.047,0.955,0.931
42,83,465.759,451.601,0.670,2.763,0.362,0.856
43,66,139.373,452.974,0.988,1.238,0.808,0.936
44,88,157.471,453.970,0.968,1.101,0.908,0.926
