 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,71,253.340,26.336,0.966,1.057,0.946,0.916
2,62,432.014,34.300,0.967,1.104,0.906,0.912
3,46,354.562,78.523,0.830,1.699,0.589,0.868
4,63,50.850,115.720,0.461,4.280,0.234,0.704
5,68,421.522,123.397,0.358,5.509,0.182,0.657
6,92,320.923,129.503,0.503,4.095,0.244,0.733
7,81,272.934,127.405,1.000,1.064,0.940,0.926
8,49,405.875,132.031,0.925,1.376,0.727,0.867
9,82,136.284,154.105,0.934,1.398,0.715,0.916
10,46,194.455,162.555,0.809,2.250,0.444,0.929
11,168,185.747,180.884,0.319,2.395,0.418,0.575
12,99,57.761,191.498,0.398,5.155,0.194,0.680
13,59,230.579,203.109,0.959,1.026,0.975,0.894
14,62,205.502,210.939,0.967,1.254,0.797,0.919
15,79,308.941,215.363,0.520,3.495,0.286,0.749
16,74,84.238,216.174,0.906,1.477,0.677,0.881
17,89,210.649,225.745,0.447,4.795,0.209,0.788
18,93,85.955,232.743,0.397,4.370,0.229,0.684
19,108,295.861,352.586,0.452,4.127,0.242,0.692
20,84,283.174,370.273,0.824,1.827,0.547,0.903
21,119,300.587,371.127,0.549,3.589,0.279,0.810
22,51,14.675,391.837,0.981,1.381,0.724,0.911
23,79,307.138,394.858,0.982,1.155,0.866,0.924
24,85,142.068,399.538,0.597,3.082,0.324,0.846
25,62,275.052,398.362,0.877,1.751,0.571,0.905
26,61,259.990,407.391,0.787,2.086,0.479,0.884
27,124,186.013,414.329,0.293,7.412,0.135,0.633
28,81,58.714,420.880,0.956,1.054,0.949,0.905
29,86,445.969,421.764,0.980,1.188,0.842,0.930
30,106,480.361,429.784,0.500,4.534,0.221,0.825
31,44,159.222,440.158,0.949,1.481,0.675,0.917
32,85,466.310,449.648,0.614,3.128,0.320,0.798
33,71,161.134,457.811,0.587,3.313,0.302,0.861
34,65,141.768,456.430,0.767,2.130,0.470,0.872
35,58,120.748,465.185,0.889,1.491,0.671,0.859
36,87,25.549,491.243,0.800,2.222,0.450,0.935
37,80,113.262,496.792,0.994,1.028,0.973,0.930
38,83,214.866,501.275,0.577,3.561,0.281,0.790
