 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,91,281.111,30.039,0.987,1.109,0.901,0.915
2,72,128.678,44.518,1.000,1.087,0.920,0.935
3,77,348.869,46.515,1.000,1.118,0.894,0.939
4,94,139.423,59.512,0.985,1.048,0.954,0.926
5,58,365.935,72.048,0.905,1.282,0.780,0.879
6,89,294.560,92.013,0.979,1.125,0.889,0.932
7,69,46.664,115.598,1.000,1.147,0.872,0.914
8,81,411.111,121.196,1.000,1.036,0.966,0.926
9,99,321.334,130.433,0.569,3.607,0.277,0.792
10,68,484.614,130.866,0.962,1.064,0.940,0.895
11,96,379.678,146.907,0.973,1.157,0.864,0.932
12,83,136.219,154.642,0.932,1.089,0.918,0.878
13,79,302.462,154.286,0.967,1.100,0.909,0.898
14,82,488.689,158.190,1.000,1.042,0.960,0.932
15,90,197.104,165.306,0.758,2.039,0.490,0.905
16,65,208.425,179.115,0.997,1.073,0.932,0.897
17,77,29.839,198.753,0.993,1.082,0.924,0.922
18,63,228.655,200.601,1.000,1.057,0.946,0.913
19,70,204.207,210.740,0.975,1.227,0.815,0.897
20,89,366.079,221.702,0.933,1.207,0.829,0.908
21,95,209.884,225.842,0.505,4.030,0.248,0.815
22,72,52.551,244.579,0.965,1.134,0.882,0.894
23,78,191.046,259.532,1.000,1.103,0.907,0.951
24,99,338.584,306.149,1.000,1.045,0.957,0.934
25,84,356.772,313.197,0.992,1.134,0.882,0.913
26,69,8.812,320.673,0.810,2.189,0.457,0.945
27,128,321.566,326.990,0.676,2.310,0.433,0.813
28,129,345.498,330.218,0.970,1.121,0.892,0.931
29,73,10.981,378.132,0.978,1.105,0.905,0.896
30,87,147.747,378.111,0.991,1.128,0.887,0.930
31,71,220.404,385.395,1.000,1.059,0.944,0.953
32,90,169.341,391.856,0.990,1.105,0.905,0.928
33,77,299.111,393.517,1.000,1.089,0.918,0.945
34,81,142.703,395.175,0.956,1.100,0.909,0.900
35,134,267.620,406.479,0.469,3.557,0.281,0.720
36,63,177.009,412.381,0.892,1.499,0.667,0.906
37,94,16.873,417.982,0.985,1.187,0.843,0.922
38,65,190.593,418.721,0.920,1.590,0.629,0.909
39,115,480.205,429.547,0.543,4.015,0.249,0.830
40,67,116.572,448.892,0.987,1.170,0.855,0.905
41,91,465.785,452.198,0.685,2.677,0.374,0.867
42,71,139.408,453.333,0.966,1.166,0.858,0.916
43,92,157.564,454.492,0.998,1.022,0.979,0.915
44,47,30.321,463.905,0.452,3.842,0.260,0.770
