 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,81,402.777,30.331,1.000,1.095,0.913,0.926
2,92,356.111,45.661,0.998,1.124,0.890,0.920
3,50,359.664,69.264,0.962,1.462,0.684,0.935
4,79,48.820,116.380,0.717,2.579,0.388,0.883
5,98,320.420,129.586,0.523,3.752,0.267,0.757
6,90,418.786,126.804,0.854,1.923,0.520,0.923
7,85,135.554,154.612,1.000,1.096,0.912,0.924
8,82,479.421,161.507,0.968,1.152,0.868,0.906
9,203,186.445,172.442,0.296,2.635,0.380,0.564
10,113,58.645,191.216,0.419,4.792,0.209,0.685
11,62,203.612,193.275,0.967,1.252,0.799,0.912
12,73,42.020,198.015,0.942,1.168,0.856,0.885
13,64,228.288,201.212,0.998,1.034,0.968,0.921
14,70,204.712,210.999,0.953,1.288,0.776,0.921
15,95,210.027,225.980,0.493,4.142,0.241,0.815
16,93,83.303,232.874,0.524,3.253,0.307,0.765
17,122,299.290,270.095,0.985,1.104,0.906,0.928
18,95,14.323,284.679,0.996,1.058,0.945,0.922
19,40,287.042,339.052,0.973,1.398,0.716,0.930
20,134,308.940,347.883,0.592,3.324,0.301,0.865
21,151,300.217,364.602,0.690,2.820,0.355,0.880
22,62,321.373,364.387,0.967,1.341,0.746,0.912
23,88,144.678,366.377,1.000,1.098,0.911,0.926
24,87,305.574,389.545,0.943,1.016,0.984,0.888
25,83,143.195,398.232,0.980,1.115,0.897,0.907
26,67,274.677,399.313,0.912,1.549,0.646,0.924
27,67,260.466,407.514,0.864,1.644,0.608,0.876
28,147,185.620,415.018,0.342,6.634,0.151,0.698
29,117,479.748,430.003,0.523,4.242,0.236,0.824
30,82,156.886,450.845,0.859,1.486,0.673,0.896
31,90,465.721,451.671,0.650,2.927,0.342,0.837
32,71,140.097,456.495,0.882,1.329,0.753,0.887
33,77,118.668,462.856,0.993,1.032,0.969,0.911
34,58,31.241,466.121,0.732,2.156,0.464,0.899
35,83,24.166,496.352,0.995,1.113,0.898,0.933
