 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,85,226.922,9.637,0.878,1.505,0.664,0.876
2,79,274.290,52.882,0.982,1.063,0.941,0.913
3,42,246.610,70.675,1.000,1.286,0.777,0.903
4,54,363.630,71.169,0.933,1.251,0.800,0.900
5,85,349.150,93.786,0.968,1.104,0.906,0.919
6,68,49.009,115.725,0.786,2.276,0.439,0.925
7,97,320.501,129.254,0.530,3.819,0.262,0.767
8,79,414.964,124.461,0.997,1.115,0.896,0.952
9,73,387.688,125.666,0.994,1.097,0.911,0.930
10,81,135.734,154.534,0.956,1.086,0.921,0.900
11,97,196.765,165.992,0.596,2.665,0.375,0.862
12,87,181.818,173.010,0.789,2.027,0.493,0.916
13,105,58.035,191.105,0.489,3.776,0.265,0.719
14,79,155.703,191.182,1.000,1.014,0.987,0.924
15,59,203.917,194.643,1.000,1.134,0.881,0.929
16,63,228.254,201.160,0.983,1.057,0.946,0.913
17,67,204.855,211.006,0.948,1.343,0.745,0.905
18,82,489.764,222.283,0.983,1.045,0.957,0.932
19,93,210.253,225.866,0.494,4.213,0.237,0.805
20,67,21.238,233.815,0.987,1.129,0.886,0.905
21,87,82.566,232.577,0.543,2.738,0.365,0.777
22,120,330.629,341.549,0.981,1.159,0.863,0.941
23,108,309.909,348.627,0.790,2.015,0.496,0.900
24,126,301.419,367.282,0.799,1.994,0.501,0.894
25,59,321.080,364.262,1.000,1.252,0.799,0.937
26,96,29.970,375.997,0.973,1.158,0.864,0.932
27,74,142.295,396.399,0.991,1.077,0.928,0.902
28,62,274.878,399.172,0.877,1.510,0.662,0.892
29,78,313.854,399.807,1.000,1.057,0.946,0.929
30,66,260.905,407.288,0.884,1.519,0.658,0.880
31,137,185.871,414.590,0.345,6.447,0.155,0.670
32,73,34.007,420.967,0.942,1.268,0.788,0.896
33,86,148.783,425.260,1.000,1.104,0.906,0.925
34,110,480.227,429.732,0.531,4.194,0.238,0.840
35,86,465.739,451.634,0.655,2.966,0.337,0.864
36,93,159.259,453.172,0.883,1.428,0.700,0.921
37,68,140.408,455.269,0.978,1.294,0.773,0.938
38,73,118.365,458.912,0.994,1.084,0.922,0.918
39,49,31.580,465.401,0.652,2.529,0.395,0.891
40,82,23.975,495.990,1.000,1.137,0.879,0.943
