 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,82,396.982,26.371,1.000,1.044,0.957,0.932
2,89,352.307,36.206,0.979,1.132,0.883,0.922
3,52,358.241,68.226,0.982,1.559,0.642,0.904
4,78,49.380,116.299,0.677,2.650,0.377,0.867
5,101,419.491,124.372,0.747,2.431,0.411,0.902
6,99,321.192,129.791,0.511,3.863,0.259,0.742
7,85,135.905,154.423,0.922,1.075,0.930,0.885
8,65,195.676,163.985,0.826,1.649,0.606,0.872
9,144,183.958,176.673,0.488,3.771,0.265,0.816
10,83,471.431,177.654,0.946,1.292,0.774,0.917
11,120,58.912,190.862,0.429,4.768,0.210,0.696
12,61,205.513,195.643,0.913,1.749,0.572,0.924
13,65,228.522,201.409,0.973,1.060,0.944,0.915
14,77,53.717,205.585,1.000,1.164,0.859,0.951
15,72,205.182,211.176,0.980,1.393,0.718,0.929
16,103,210.469,225.992,0.493,4.163,0.240,0.821
17,97,84.271,232.829,0.534,3.402,0.294,0.792
18,121,289.514,276.144,0.948,1.081,0.925,0.917
19,100,12.599,292.610,1.000,1.142,0.876,0.922
20,43,287.797,338.593,0.974,1.458,0.686,0.905
21,139,309.326,347.615,0.582,3.397,0.294,0.855
22,87,138.300,354.803,0.991,1.140,0.877,0.930
23,156,300.593,364.295,0.629,2.956,0.338,0.843
24,64,321.735,364.203,0.906,1.507,0.663,0.889
25,85,310.564,387.883,0.968,1.100,0.909,0.919
26,82,143.722,398.062,0.968,1.210,0.826,0.906
27,137,267.902,403.140,0.390,4.804,0.208,0.660
28,151,186.216,414.861,0.338,6.726,0.149,0.719
29,119,480.577,429.906,0.516,4.186,0.239,0.826
30,45,162.370,437.426,0.951,1.335,0.749,0.874
31,74,158.116,450.898,0.934,1.434,0.698,0.937
32,93,466.214,451.816,0.636,3.061,0.327,0.845
33,73,141.311,455.908,0.907,1.459,0.685,0.907
34,78,119.737,460.815,0.969,1.012,0.988,0.918
35,65,31.822,465.569,0.691,2.284,0.438,0.855
36,87,11.945,469.051,1.000,1.022,0.978,0.951
37,82,24.507,496.319,1.000,1.174,0.852,0.916
38,91,215.403,501.681,0.669,2.946,0.339,0.831
