 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,80,254.009,27.608,0.994,1.047,0.955,0.930
2,68,431.464,28.556,1.000,1.028,0.973,0.938
3,61,357.042,78.642,0.913,1.568,0.638,0.924
4,51,147.532,100.806,0.865,1.763,0.567,0.864
5,90,50.981,115.944,0.562,3.578,0.279,0.786
6,94,259.950,121.460,0.971,1.173,0.852,0.904
7,85,421.576,123.288,0.403,5.242,0.191,0.700
8,109,320.211,129.456,0.514,3.854,0.259,0.752
9,52,406.249,131.420,1.000,1.347,0.742,0.920
10,53,417.739,148.827,0.591,2.897,0.345,0.803
11,94,135.988,155.507,0.880,1.584,0.631,0.904
12,52,192.974,161.893,0.779,2.019,0.495,0.889
13,210,185.416,180.765,0.331,2.147,0.466,0.588
14,122,57.628,191.947,0.448,4.811,0.208,0.739
15,64,230.534,202.716,0.998,1.030,0.971,0.921
16,71,205.547,210.825,0.951,1.266,0.790,0.893
17,101,304.500,215.846,0.539,3.543,0.282,0.765
18,82,85.391,216.856,0.921,1.676,0.597,0.906
19,105,210.652,225.704,0.472,4.234,0.236,0.798
20,112,86.422,232.808,0.426,4.266,0.234,0.730
21,127,295.588,352.332,0.491,3.961,0.252,0.738
22,97,283.127,370.411,0.817,1.973,0.507,0.911
23,134,300.618,371.218,0.529,3.665,0.273,0.805
24,61,15.157,391.947,0.898,1.502,0.666,0.878
25,85,313.685,396.133,0.935,1.144,0.874,0.914
26,108,141.575,399.921,0.571,3.248,0.308,0.800
27,152,267.163,402.760,0.398,5.239,0.191,0.694
28,158,185.774,414.223,0.346,6.557,0.153,0.699
29,98,445.027,415.494,0.948,1.310,0.763,0.907
30,87,35.824,418.607,0.943,1.032,0.969,0.888
31,128,479.979,430.178,0.531,4.169,0.240,0.837
32,53,159.173,440.532,0.916,1.490,0.671,0.898
33,100,465.721,450.939,0.617,3.048,0.328,0.830
34,90,161.325,458.127,0.647,3.003,0.333,0.878
35,79,141.701,456.689,0.801,2.085,0.480,0.893
36,70,29.786,464.463,0.512,3.281,0.305,0.791
37,77,121.651,464.111,0.648,2.072,0.483,0.828
38,100,25.124,491.443,0.740,2.514,0.398,0.901
39,86,113.169,497.101,1.000,1.038,0.963,0.945
40,45,129.209,496.767,0.866,1.814,0.551,0.891
41,97,215.163,500.772,0.593,3.423,0.292,0.805
