 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,74,254.380,27.742,0.954,1.066,0.938,0.902
2,67,407.457,35.654,1.000,1.047,0.955,0.931
3,44,497.653,62.473,1.000,1.290,0.775,0.917
4,80,147.502,95.860,0.911,1.539,0.650,0.914
5,44,159.734,102.869,1.000,1.352,0.740,0.917
6,84,246.066,110.617,1.000,1.261,0.793,0.944
7,68,50.992,115.565,0.497,4.119,0.243,0.739
8,97,320.243,129.367,0.512,3.950,0.253,0.716
9,66,421.750,123.056,0.376,6.422,0.156,0.721
10,43,406.511,131.288,1.000,1.187,0.843,0.896
11,86,136.044,155.296,0.843,1.791,0.558,0.920
12,128,182.518,176.435,0.431,3.629,0.276,0.734
13,51,191.319,188.354,0.904,1.301,0.769,0.857
14,99,57.045,193.574,0.374,5.312,0.188,0.671
15,83,305.811,194.781,0.454,3.905,0.256,0.683
16,59,230.933,203.788,1.000,1.092,0.915,0.922
17,63,205.770,210.976,0.983,1.309,0.764,0.913
18,96,211.003,225.416,0.471,4.616,0.217,0.817
19,95,86.212,232.658,0.377,4.519,0.221,0.671
20,112,295.382,352.747,0.446,4.320,0.231,0.677
21,88,282.926,370.770,0.799,1.917,0.522,0.903
22,119,300.244,371.174,0.525,3.511,0.285,0.796
23,52,14.874,390.930,0.882,1.611,0.621,0.867
24,79,311.834,391.146,0.982,1.277,0.783,0.935
25,69,274.471,397.957,0.815,1.855,0.539,0.879
26,93,142.111,399.703,0.574,3.431,0.291,0.842
27,91,430.980,401.915,0.987,1.384,0.723,0.924
28,61,259.545,406.781,0.747,2.275,0.440,0.865
29,135,185.838,414.369,0.300,7.433,0.135,0.641
30,83,33.795,413.409,0.980,1.079,0.927,0.907
31,116,480.037,430.051,0.503,4.495,0.222,0.814
32,46,159.144,440.450,0.846,1.585,0.631,0.902
33,91,467.559,448.044,0.615,3.177,0.315,0.805
34,73,161.089,457.609,0.604,3.321,0.301,0.869
35,68,141.720,455.775,0.786,2.227,0.449,0.913
36,63,120.441,462.160,0.590,2.014,0.496,0.808
37,40,30.820,465.846,0.736,2.094,0.478,0.899
38,93,25.049,492.620,0.688,2.583,0.387,0.890
39,82,113.098,497.418,0.968,1.056,0.947,0.901
40,86,214.709,501.114,0.575,3.624,0.276,0.782
