 ,Area,XM,YM,Circ.,AR,Round,Solidity
1,65,450.209,24.623,1.000,1.059,0.944,0.929
2,74,253.860,27.398,1.000,1.095,0.913,0.937
3,42,353.852,85.818,0.640,2.448,0.409,0.884
4,88,288.540,105.600,0.954,1.062,0.941,0.898
5,74,51.143,115.553,0.541,3.837,0.261,0.771
6,77,421.589,123.233,0.409,5.401,0.185,0.710
7,96,320.959,129.507,0.512,3.952,0.253,0.733
8,58,404.516,131.409,0.960,1.525,0.656,0.935
9,82,136.226,154.040,0.934,1.353,0.739,0.916
10,53,194.613,162.831,0.794,2.133,0.469,0.891
11,178,186.056,181.026,0.336,2.333,0.429,0.586
12,105,57.942,190.675,0.398,5.072,0.197,0.680
13,63,230.477,202.608,0.983,1.022,0.978,0.913
14,66,205.605,210.653,0.972,1.231,0.812,0.892
15,77,82.200,215.853,0.993,1.312,0.762,0.922
16,91,324.885,223.825,0.548,3.369,0.297,0.768
17,95,210.780,225.569,0.461,4.418,0.226,0.772
18,101,86.034,232.600,0.435,4.197,0.238,0.732
19,121,295.234,352.631,0.492,3.918,0.255,0.736
20,91,283.261,371.023,0.800,1.969,0.508,0.910
21,122,300.748,371.343,0.581,3.372,0.297,0.833
22,55,14.426,391.637,0.950,1.388,0.721,0.917
23,77,305.549,398.527,0.993,1.172,0.854,0.917
24,90,142.201,399.189,0.677,2.685,0.372,0.891
25,64,275.135,398.295,0.838,1.745,0.573,0.914
26,63,260.096,407.200,0.813,2.051,0.488,0.894
27,141,185.914,414.207,0.319,7.069,0.141,0.676
28,84,66.854,418.053,1.000,1.045,0.957,0.944
29,118,479.957,429.593,0.516,4.297,0.233,0.837
30,91,453.596,432.942,1.000,1.141,0.877,0.933
31,48,159.390,440.263,0.924,1.401,0.714,0.889
32,98,470.450,445.632,0.645,2.856,0.350,0.845
33,73,161.376,457.710,0.604,3.148,0.318,0.874
34,74,141.484,456.068,0.814,2.103,0.476,0.902
35,47,30.624,465.191,0.650,2.381,0.420,0.895
36,62,120.287,463.141,0.732,1.549,0.646,0.832
37,92,23.874,496.278,0.756,2.351,0.425,0.876
38,84,113.261,496.403,0.992,1.061,0.943,0.913
39,87,214.793,501.019,0.582,3.491,0.286,0.784
